"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+5.00000000000E+004, +9.82815586040E-001, +0.00000000000E+000
+5.00950000000E+004, +8.96887396944E-001, +0.00000000000E+000
+5.01900000000E+004, +7.98063341978E-001, +0.00000000000E+000
+5.02850000000E+004, +7.65568446287E-001, +0.00000000000E+000
+5.03800000000E+004, +7.87291997164E-001, +0.00000000000E+000
+5.04750000000E+004, +8.94746567896E-001, +0.00000000000E+000
+5.05700000000E+004, +1.01175410417E+000, +0.00000000000E+000
+5.06650000000E+004, +1.01631182287E+000, +0.00000000000E+000
+5.07600000000E+004, +8.65025727262E-001, +0.00000000000E+000
+5.08550000000E+004, +6.89792558241E-001, +0.00000000000E+000
+5.09500000000E+004, +7.20696921377E-001, +0.00000000000E+000
+5.10450000000E+004, +9.83462918418E-001, +0.00000000000E+000
+5.11400000000E+004, +1.13200309593E+000, +0.00000000000E+000
+5.12350000000E+004, +1.01283026332E+000, +0.00000000000E+000
+5.13300000000E+004, +7.82077691107E-001, +0.00000000000E+000
+5.14250000000E+004, +8.89084858346E-001, +0.00000000000E+000
+5.15200000000E+004, +1.14576216929E+000, +0.00000000000E+000
+5.16150000000E+004, +9.92093680064E-001, +0.00000000000E+000
+5.17100000000E+004, +6.83708716030E-001, +0.00000000000E+000
+5.18050000000E+004, +1.01042394522E+000, +0.00000000000E+000
+5.19000000000E+004, +8.49793752875E-001, +0.00000000000E+000
+5.19950000000E+004, +8.76442649689E-001, +0.00000000000E+000
+5.20900000000E+004, +1.24579463518E+000, +0.00000000000E+000
+5.21850000000E+004, +8.17932069605E-001, +0.00000000000E+000
+5.22800000000E+004, +7.70140957387E-001, +0.00000000000E+000
+5.23750000000E+004, +1.28816364172E+000, +0.00000000000E+000
+5.24700000000E+004, +8.53481353292E-001, +0.00000000000E+000
+5.25650000000E+004, +9.61452426655E-001, +0.00000000000E+000
+5.26600000000E+004, +1.17063375321E+000, +0.00000000000E+000
+5.27550000000E+004, +7.51131621672E-001, +0.00000000000E+000
+5.28500000000E+004, +1.13709255794E+000, +0.00000000000E+000
+5.29450000000E+004, +8.57970442344E-001, +0.00000000000E+000
+5.30400000000E+004, +9.67398659061E-001, +0.00000000000E+000
+5.31350000000E+004, +9.14402273619E-001, +0.00000000000E+000
+5.32300000000E+004, +8.39276437606E-001, +0.00000000000E+000
