resistance_ohm,frequency_Hz,V_IN_V,I_IN_A,P_IN_W,I_OUT_A,V_OUT_V,P_OUT_W
5.0,100000.0,23.9989969,0.33238957,7.977016260022334,1.109306,5.541027,6.146711
5.0,101000.0,23.9969691,0.353151247,8.474559561885469,1.145205,5.719388,6.549935
5.0,102000.0,23.9966627,0.375867372,9.019562545819424,1.18326,5.911591,6.995633
5.0,103000.0,23.9965201,0.400423453,9.608769438425906,1.222583,6.112229,7.473489
5.0,104000.0,23.996203,0.426713668,10.239507800202604,1.264031,6.316932,7.986067
5.0,105000.0,23.9962665,0.455625817,10.933318529012231,1.307279,6.54024,8.550135
5.0,106000.0,23.9950539,0.486452187,11.672446446837878,1.352867,6.765042,9.151599
5.0,107000.0,23.9945828,0.519843985,12.473439541164456,1.400784,7.000964,9.806952
5.0,108000.0,23.9946012,0.556172109,13.345127954017933,1.450288,7.251185,10.51577
5.0,109000.0,23.9932275,0.595716713,14.293166620561205,1.502138,7.517246,11.29263
5.0,110000.0,23.9921307,0.638035892,15.307840512155085,1.55655,7.787535,12.12193
5.0,111000.0,23.9909595,0.683713701,16.402947710286107,1.6129,8.069494,13.01552
5.0,112000.0,23.9904366,0.732882104,17.582161651286604,1.671259,8.362827,13.97602
5.0,113000.0,23.9900819,0.78554682,18.845332548084556,1.731638,8.664547,15.00412
5.0,114000.0,23.9877325,0.842082954,20.199660643361806,1.7942,8.980486,16.11335
5.0,115000.0,23.9876004,0.90215736,21.640590249598947,1.858007,9.304695,17.28931
5.0,116000.0,23.9863006,0.965422055,23.156903617099733,1.923386,9.632463,18.52694
5.0,117000.0,23.9857311,1.03150326,24.741359823133386,1.989946,9.957308,19.8152
5.0,118000.0,23.984001,1.10045295,26.39326465325295,2.055819,10.29588,21.16528
5.0,119000.0,23.982803,1.1706417,28.075269274685102,2.121984,10.621,22.53742
5.0,120000.0,23.981481,1.24203089,29.78574018994809,2.18587,10.94823,23.93144
5.0,121000.0,23.9808391,1.31263389,31.478062113297103,2.249358,11.2501,25.30805
5.0,122000.0,23.9793613,1.38105693,33.11686310033881,2.308906,11.54321,26.65252
5.0,123000.0,23.9781831,1.44563784,34.6637688238085,2.3637,11.81322,27.92374
5.0,124000.0,23.9768458,1.50376871,36.055630478534916,2.41036,12.06014,29.06773
5.0,125000.0,23.9762441,1.55524392,37.28890786096087,2.453504,12.26154,30.08521
5.0,126000.0,23.9747253,1.59792249,38.309752748441994,2.485959,12.4333,30.90688
5.0,127000.0,23.9743143,1.62894134,39.05275166142316,2.511559,12.56079,31.54574
5.0,128000.0,23.9748487,1.64969039,39.55107750209399,2.528448,12.64343,31.96837
5.0,129000.0,23.9744316,1.65854469,39.7626662259482,2.536113,12.68383,32.16653
5.0,129700.0,23.9736469,1.65755801,39.737710448006666,2.536944,12.68767,32.18784
5.0,130000.0,23.9741253,1.65551431,39.68950750388304,2.536027,12.68337,32.16527
5.0,131000.0,23.9741328,1.64303988,39.39045627881606,2.528339,12.64446,31.96946
5.0,132000.0,23.9747362,1.62194412,38.88568240814114,2.514016,12.57258,31.60698
5.0,133000.0,23.9745429,1.59536469,38.2481392015502,2.495084,12.47688,31.12914
5.0,134000.0,23.9762732,1.55676344,37.325385545211816,2.465261,12.32781,30.38987
5.0,135000.0,23.976292,1.50735364,36.14075101990288,2.425508,12.13104,29.42464
5.0,136000.0,23.9769759,1.45064558,34.78209411110152,2.378958,11.89833,28.30532
5.0,137000.0,23.9792307,1.38836568,33.29194093668237,2.326651,11.63748,27.07767
5.0,138000.0,23.9801772,1.32360829,31.740361337588986,2.271002,11.35804,25.79324
5.0,139000.0,23.9822062,1.25725082,30.151648410359087,2.212881,11.06652,24.48885
5.0,139700.0,23.9821304,1.21192476,29.064537629308703,2.172473,10.85643,23.58422
5.0,140000.0,23.982523,1.19158108,28.57712065746484,2.15321,10.76883,23.18743
5.0,141000.0,23.9836427,1.12741973,27.03963197725047,2.093435,10.46947,21.91765
5.0,142000.0,23.9841387,1.06548143,25.554654399394337,2.034033,10.17248,20.69136
5.0,143000.0,23.9860465,1.00614936,24.13354533490524,1.975772,9.879571,19.51949
5.0,144000.0,23.9874487,0.949494855,22.77595912522644,1.917391,9.59792,18.40305
5.0,145000.0,23.9872597,0.89682541,21.512384015228978,1.863312,9.316457,17.35861
5.0,146000.0,23.9885225,0.846809239,20.31370248295938,1.808911,9.049232,16.36894
5.0,147000.0,23.9892191,0.800121917,19.194299973625014,1.757051,8.79038,15.44574
5.0,148000.0,23.9903618,0.756480834,18.14824890242574,1.707588,8.540494,14.58345
5.0,149000.0,23.9918421,0.715676166,17.170389569405387,1.658747,8.304994,13.77596
5.0,150000.0,23.9912177,0.677922507,16.264186449166775,1.614513,8.069573,13.02949
5.0,151000.0,23.9917383,0.642517406,15.41510945794685,1.569542,7.856659,12.33258
5.0,152000.0,23.9925835,0.609725876,14.628898992040646,1.528696,7.641325,11.68187
5.0,153000.0,23.9930118,0.579157105,13.895723254318838,1.488908,7.440286,11.07822
5.0,154000.0,23.9935167,0.55065424,13.212131703365808,1.449884,7.250517,10.51204
5.0,155000.0,23.9949574,0.524145225,12.576842345288416,1.41331,7.06933,9.991763
5.0,156000.0,23.994459,0.49942815,11.98350826862085,1.377192,6.899762,9.502877
5.0,157000.0,23.9962783,0.476422166,11.432358883624797,1.343938,6.73315,9.048606
5.0,158000.0,23.995615,0.454833452,10.91400840331298,1.312954,6.563778,8.617923
5.0,159000.0,23.9960616,0.434803465,10.433570730033445,1.281661,6.417159,8.224833
