resistance_ohm,frequency_Hz,I_P_PP,I_P_AMP,I_P_AVG,I_OUT_AMP,I_OUT_AVG,I_IN_AMP,I_IN_AVG,V_SW_FREQ,V_SW_AMP,V_OUT_AVG,V_OUT_PP,V_SEC_AMP
5.0,100000.0,5.9,5.9,-0.74,0.034,1.13985,0.113,0.3863,100000.0,23.0,5.66546,0.18,12.9
5.0,101000.0,6.3,6.3,-0.71,0.035,1.17753,0.119,0.4044,101000.0,24.0,5.84081,0.17,13.3
5.0,102000.0,6.6,6.6,-0.75,0.039,1.21239,0.119,0.4258,102000.0,24.0,6.04598,0.19,13.7
5.0,103000.0,6.6,6.6,-0.71,0.037,1.2536,0.119,0.453,103100.0,24.0,6.25105,0.18,14.1
5.0,104000.0,6.6,6.6,-0.76,0.036,1.29633,0.125,0.4789,104000.0,24.0,6.45568,0.19,14.5
5.0,105000.0,6.9,6.9,-0.72,0.041,1.33939,0.125,0.5055,105000.0,23.0,6.68605,0.18,14.9
5.0,106000.0,7.2,7.2,-0.73,0.039,1.38302,0.131,0.5367,106200.0,24.0,6.91761,0.19,15.7
5.0,107000.0,7.5,7.5,-0.74,0.041,1.43154,0.131,0.5704,107100.0,24.0,7.16217,0.19,16.1
5.0,108000.0,7.8,7.8,-0.74,0.042,1.48052,0.131,0.607,108000.0,24.0,7.42226,0.17,16.5
5.0,109000.0,7.8,7.8,-0.72,0.042,1.53631,0.138,0.6452,108900.0,24.0,7.69714,0.2,16.9
5.0,110000.0,8.1,8.1,-0.74,0.045,1.59026,0.138,0.6866,109900.0,23.0,7.97602,0.21,17.7
5.0,111000.0,8.1,8.1,-0.72,0.044,1.64588,0.138,0.7299,110900.0,24.0,8.26877,0.18,18.5
5.0,112000.0,8.4,8.4,-0.75,0.045,1.70307,0.144,0.7787,111900.0,24.0,8.56351,0.18,18.9
5.0,113000.0,9.1,9.1,-0.7,0.045,1.76413,0.144,0.8328,112900.0,23.0,8.88056,0.19,19.3
5.0,114000.0,9.1,9.1,-0.72,0.046,1.82851,0.15,0.8877,113900.0,23.0,9.20295,0.19,20.1
5.0,115000.0,9.4,9.4,-0.75,0.047,1.89069,0.15,0.9481,114900.0,23.0,9.53922,0.19,20.9
5.0,116000.0,9.7,9.7,-0.74,0.047,1.95547,0.15,1.0098,116000.0,23.0,9.87093,0.19,21.7
5.0,117000.0,9.7,9.7,-0.73,0.047,2.02176,0.15,1.0748,117100.0,23.0,10.20782,0.2,22.5
5.0,118000.0,10.3,10.3,-0.74,0.049,2.08835,0.15,1.1431,118200.0,23.0,10.5584,0.2,22.9
5.0,119000.0,10.3,10.3,-0.74,0.051,2.15677,0.15,1.2132,119000.0,23.0,10.88667,0.2,23.7
5.0,120000.0,10.6,10.6,-0.72,0.051,2.22228,0.15,1.2836,119900.0,23.0,11.22833,0.2,24.5
5.0,121000.0,10.9,10.9,-0.75,0.051,2.28338,0.156,1.3552,121100.0,23.0,11.54117,0.2,24.9
5.0,122000.0,11.3,11.3,-0.74,0.052,2.34306,0.15,1.4224,122000.0,23.0,11.84375,0.2,25.7
5.0,123000.0,11.6,11.6,-0.74,0.049,2.39726,0.15,1.4875,122900.0,23.0,12.12035,0.22,26.1
5.0,124000.0,11.6,11.6,-0.72,0.051,2.44251,0.15,1.5431,124100.0,23.0,12.36913,0.21,26.9
5.0,125000.0,11.6,11.6,-0.74,0.051,2.48515,0.15,1.5946,125000.0,23.0,12.57978,0.22,27.3
5.0,126000.0,11.9,11.9,-0.73,0.051,2.52046,0.15,1.6393,125900.0,23.0,12.75306,0.2,27.7
5.0,127000.0,11.9,11.9,-0.71,0.051,2.54388,0.15,1.668,127200.0,23.0,12.88355,0.22,27.7
5.0,128000.0,11.6,11.6,-0.73,0.052,2.56147,0.15,1.69,127900.0,23.0,12.96935,0.22,28.1
5.0,129000.0,11.6,11.6,-0.73,0.054,2.56926,0.15,1.6992,129200.0,23.0,13.01808,0.23,28.1
5.0,129700.0,11.6,11.6,-0.73,0.052,2.56994,0.144,1.7,129900.0,23.0,13.01679,0.21,28.1
5.0,130000.0,11.6,11.6,-0.74,0.051,2.57049,0.144,1.6989,129900.0,23.0,13.01236,0.19,28.1
5.0,131000.0,11.6,11.6,-0.72,0.051,2.56004,0.144,1.685,131200.0,23.0,12.97695,0.18,28.1
5.0,132000.0,11.6,11.6,-0.73,0.047,2.54763,0.144,1.6645,132300.0,23.0,12.90216,0.14,27.7
5.0,133000.0,11.3,11.3,-0.73,0.04,2.52708,0.138,1.6378,133000.0,23.0,12.80267,0.18,27.7
5.0,134000.0,10.9,10.9,-0.74,0.039,2.49821,0.131,1.6012,134000.0,23.0,12.64336,0.2,27.3
5.0,135000.0,10.9,10.9,-0.73,0.037,2.45727,0.131,1.5523,134800.0,23.0,12.44482,0.18,26.9
5.0,136000.0,10.9,10.9,-0.72,0.037,2.41192,0.125,1.4961,135900.0,23.0,12.20331,0.19,26.5
5.0,137000.0,10.6,10.6,-0.71,0.039,2.36017,0.125,1.4342,137000.0,23.0,11.93638,0.2,26.1
5.0,138000.0,10.3,10.3,-0.69,0.037,2.30552,0.113,1.3695,138100.0,23.0,11.64801,0.18,25.3
5.0,139000.0,10.0,10.0,-0.72,0.036,2.24751,0.113,1.3047,138900.0,23.0,11.34691,0.19,24.9
5.0,139700.0,9.7,9.7,-0.72,0.036,2.20588,0.113,1.2595,139700.0,23.0,11.1276,0.18,24.1
5.0,140000.0,9.7,9.7,-0.74,0.034,2.18652,0.113,1.2378,140100.0,24.0,11.03849,0.17,24.1
5.0,141000.0,9.4,9.4,-0.72,0.036,2.12585,0.113,1.1745,141200.0,23.0,10.73385,0.18,23.3
5.0,142000.0,9.4,9.4,-0.74,0.034,2.06827,0.106,1.1136,142000.0,23.0,10.42522,0.18,22.9
5.0,143000.0,9.1,9.1,-0.72,0.034,2.00736,0.1,1.0553,142900.0,23.0,10.12821,0.17,22.1
5.0,144000.0,9.1,9.1,-0.72,0.032,1.95176,0.106,0.9998,144100.0,23.0,9.83572,0.17,21.7
5.0,145000.0,8.4,8.4,-0.71,0.034,1.89643,0.094,0.9458,144900.0,23.0,9.54504,0.18,20.9
5.0,146000.0,8.4,8.4,-0.72,0.035,1.84282,0.094,0.8981,146200.0,23.0,9.27132,0.17,20.5
5.0,147000.0,8.1,8.1,-0.72,0.032,1.79122,0.094,0.8516,147100.0,23.0,9.00533,0.17,20.1
5.0,148000.0,7.8,7.8,-0.73,0.034,1.74138,0.094,0.8078,147900.0,23.0,8.74554,0.16,19.3
5.0,149000.0,7.8,7.8,-0.72,0.024,1.69083,0.094,0.7664,148800.0,23.0,8.50222,0.17,18.9
5.0,150000.0,7.8,7.8,-0.72,0.034,1.64774,0.088,0.7303,149700.0,23.0,8.26148,0.16,18.5
5.0,151000.0,7.5,7.5,-0.73,0.022,1.6014,0.088,0.6945,151100.0,24.0,8.04474,0.16,17.7
5.0,152000.0,7.2,7.2,-0.73,0.022,1.56198,0.081,0.6618,152000.0,23.0,7.82347,0.18,17.7
5.0,153000.0,7.2,7.2,-0.76,0.021,1.5213,0.088,0.6304,152900.0,23.0,7.614,0.17,16.9
5.0,154000.0,7.2,7.2,-0.72,0.022,1.48189,0.081,0.604,154300.0,23.0,7.42173,0.17,16.9
5.0,155000.0,6.9,6.9,-0.75,0.034,1.4446,0.075,0.5771,155300.0,23.0,7.23066,0.15,16.1
5.0,156000.0,6.9,6.9,-0.74,0.021,1.40911,0.075,0.5521,156300.0,23.0,7.05648,0.16,16.1
5.0,157000.0,6.6,6.6,-0.75,0.021,1.3776,0.075,0.5309,157200.0,23.0,6.88471,0.16,15.3
