"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+5.00000000000E+000, -1.76002320713E-002, +0.00000000000E+000
+6.25499687500E+003, +1.78192336768E-005, +0.00000000000E+000
+1.25049937500E+004, +1.50723474168E-005, +0.00000000000E+000
+1.87549906250E+004, +1.46431528168E-005, +0.00000000000E+000
+2.50049875000E+004, +1.44906127921E-005, +0.00000000000E+000
+3.12549843750E+004, +1.44200191814E-005, +0.00000000000E+000
+3.75049812500E+004, +1.43752059576E-005, +0.00000000000E+000
+4.37549781250E+004, +1.43434823755E-005, +0.00000000000E+000
+5.00049750000E+004, +1.43236988435E-005, +0.00000000000E+000
+5.62549718750E+004, +1.43090754482E-005, +0.00000000000E+000
+6.25049687500E+004, +1.42973993326E-005, +0.00000000000E+000
+6.87549656250E+004, +1.42902162548E-005, +0.00000000000E+000
+7.50049625000E+004, +1.42866757238E-005, +0.00000000000E+000
+8.12549593750E+004, +1.42819053885E-005, +0.00000000000E+000
+8.75049562500E+004, +1.42812833134E-005, +0.00000000000E+000
+9.37549531250E+004, +1.43005040103E-005, +0.00000000000E+000
+1.00004950000E+005, +1.42994070191E-005, +0.00000000000E+000
+1.06254946875E+005, +1.43012396962E-005, +0.00000000000E+000
+1.12504943750E+005, +1.43010238375E-005, +0.00000000000E+000
+1.18754940625E+005, +1.43025544224E-005, +0.00000000000E+000
+1.25004937500E+005, +1.43041746729E-005, +0.00000000000E+000
+1.31254934375E+005, +1.43056085025E-005, +0.00000000000E+000
+1.37504931250E+005, +1.43095625990E-005, +0.00000000000E+000
+1.43754928125E+005, +1.43107645577E-005, +0.00000000000E+000
+1.50004925000E+005, +1.43130556808E-005, +0.00000000000E+000
+1.56254921875E+005, +1.43153591944E-005, +0.00000000000E+000
+1.62504918750E+005, +1.43172439779E-005, +0.00000000000E+000
+1.68754915625E+005, +1.43221729647E-005, +0.00000000000E+000
+1.75004912500E+005, +1.43224155978E-005, +0.00000000000E+000
+1.81254909375E+005, +1.43255540779E-005, +0.00000000000E+000
+1.87504906250E+005, +1.43265432036E-005, +0.00000000000E+000
+1.93754903125E+005, +1.43287211058E-005, +0.00000000000E+000
+2.00004900000E+005, +1.43307270404E-005, +0.00000000000E+000
+2.06254896875E+005, +1.43319462698E-005, +0.00000000000E+000
+2.12504893750E+005, +1.43338030637E-005, +0.00000000000E+000
+2.18754890625E+005, +1.43373939688E-005, +0.00000000000E+000
+2.25004887500E+005, +1.43378896397E-005, +0.00000000000E+000
+2.31254884375E+005, +1.43411247435E-005, +0.00000000000E+000
+2.37504881250E+005, +1.43412330528E-005, +0.00000000000E+000
+2.43754878125E+005, +1.43443599210E-005, +0.00000000000E+000
+2.50004875000E+005, +1.43468563256E-005, +0.00000000000E+000
+2.56254871875E+005, +1.43492340696E-005, +0.00000000000E+000
+2.62504868750E+005, +1.43490837246E-005, +0.00000000000E+000
+2.68754865625E+005, +1.43511099640E-005, +0.00000000000E+000
+2.75004862500E+005, +1.43529811704E-005, +0.00000000000E+000
+2.81254859375E+005, +1.43571451011E-005, +0.00000000000E+000
+2.87504856250E+005, +1.43592203781E-005, +0.00000000000E+000
+2.93754853125E+005, +1.43634189705E-005, +0.00000000000E+000
+3.00004850000E+005, +1.43676894407E-005, +0.00000000000E+000
+3.06254846875E+005, +1.43688939149E-005, +0.00000000000E+000
+3.12504843750E+005, +1.43705982234E-005, +0.00000000000E+000
+3.18754840625E+005, +1.43744729196E-005, +0.00000000000E+000
+3.25004837500E+005, +1.43756225622E-005, +0.00000000000E+000
+3.31254834375E+005, +1.43768513665E-005, +0.00000000000E+000
+3.37504831250E+005, +1.43782558864E-005, +0.00000000000E+000
+3.43754828125E+005, +1.43822009932E-005, +0.00000000000E+000
+3.50004825000E+005, +1.43832507061E-005, +0.00000000000E+000
+3.56254821875E+005, +1.43844195643E-005, +0.00000000000E+000
+3.62504818750E+005, +1.43860319118E-005, +0.00000000000E+000
+3.68754815625E+005, +1.43901128906E-005, +0.00000000000E+000
+3.75004812500E+005, +1.43915425672E-005, +0.00000000000E+000
+3.81254809375E+005, +1.43925562823E-005, +0.00000000000E+000
+3.87504806250E+005, +1.43939620950E-005, +0.00000000000E+000
+3.93754803125E+005, +1.43972767807E-005, +0.00000000000E+000
+4.00004800000E+005, +1.43986387016E-005, +0.00000000000E+000
+4.06254796875E+005, +1.43998423499E-005, +0.00000000000E+000
+4.12504793750E+005, +1.44033542673E-005, +0.00000000000E+000
+4.18754790625E+005, +1.44046454814E-005, +0.00000000000E+000
+4.25004787500E+005, +1.44062181191E-005, +0.00000000000E+000
+4.31254784375E+005, +1.44097122997E-005, +0.00000000000E+000
+4.37504781250E+005, +1.44110802346E-005, +0.00000000000E+000
+4.43754778125E+005, +1.44122617651E-005, +0.00000000000E+000
+4.50004775000E+005, +1.44168034854E-005, +0.00000000000E+000
+4.56254771875E+005, +1.44175670430E-005, +0.00000000000E+000
+4.62504768750E+005, +1.44191011016E-005, +0.00000000000E+000
+4.68754765625E+005, +1.44207541237E-005, +0.00000000000E+000
+4.75004762500E+005, +1.44243149455E-005, +0.00000000000E+000
+4.81254759375E+005, +1.44256175295E-005, +0.00000000000E+000
+4.87504756250E+005, +1.44273711606E-005, +0.00000000000E+000
+4.93754753125E+005, +1.44286750023E-005, +0.00000000000E+000
+5.00004750000E+005, +1.44325008925E-005, +0.00000000000E+000
+5.06254746875E+005, +1.44336359312E-005, +0.00000000000E+000
+5.12504743750E+005, +1.44378446131E-005, +0.00000000000E+000
+5.18754740625E+005, +1.44390603963E-005, +0.00000000000E+000
+5.25004737500E+005, +1.44417825800E-005, +0.00000000000E+000
+5.31254734375E+005, +1.44456513189E-005, +0.00000000000E+000
+5.37504731250E+005, +1.44473017399E-005, +0.00000000000E+000
+5.43754728125E+005, +1.44487980652E-005, +0.00000000000E+000
+5.50004725000E+005, +1.44508222824E-005, +0.00000000000E+000
+5.56254721875E+005, +1.44520663867E-005, +0.00000000000E+000
+5.62504718750E+005, +1.44544299494E-005, +0.00000000000E+000
+5.68754715625E+005, +1.44563008261E-005, +0.00000000000E+000
+5.75004712500E+005, +1.44609609618E-005, +0.00000000000E+000
+5.81254709375E+005, +1.44650588848E-005, +0.00000000000E+000
+5.87504706250E+005, +1.44668678275E-005, +0.00000000000E+000
+5.93754703125E+005, +1.44686385380E-005, +0.00000000000E+000
+6.00004700000E+005, +1.44707791781E-005, +0.00000000000E+000
+6.06254696875E+005, +1.44725399368E-005, +0.00000000000E+000
+6.12504693750E+005, +1.44770112599E-005, +0.00000000000E+000
+6.18754690625E+005, +1.44794362352E-005, +0.00000000000E+000
+6.25004687500E+005, +1.44824719486E-005, +0.00000000000E+000
+6.31254684375E+005, +1.44842465148E-005, +0.00000000000E+000
+6.37504681250E+005, +1.44865073188E-005, +0.00000000000E+000
+6.43754678125E+005, +1.44913355133E-005, +0.00000000000E+000
+6.50004675000E+005, +1.44936863339E-005, +0.00000000000E+000
+6.56254671875E+005, +1.44957710007E-005, +0.00000000000E+000
+6.62504668750E+005, +1.44983258622E-005, +0.00000000000E+000
+6.68754665625E+005, +1.45008618226E-005, +0.00000000000E+000
+6.75004662500E+005, +1.45030879256E-005, +0.00000000000E+000
+6.81254659375E+005, +1.45079672376E-005, +0.00000000000E+000
+6.87504656250E+005, +1.45105453876E-005, +0.00000000000E+000
+6.93754653125E+005, +1.45128214642E-005, +0.00000000000E+000
+7.00004650000E+005, +1.45156879039E-005, +0.00000000000E+000
+7.06254646875E+005, +1.45180468457E-005, +0.00000000000E+000
+7.12504643750E+005, +1.45234458680E-005, +0.00000000000E+000
+7.18754640625E+005, +1.45258677877E-005, +0.00000000000E+000
+7.25004637500E+005, +1.45288916629E-005, +0.00000000000E+000
