"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+5.00000000000E+000, +1.08355165601E-001, +0.00000000000E+000
+6.25499687500E+003, +6.15453248000E-001, +0.00000000000E+000
+1.25049937500E+004, +1.14406741732E+000, +0.00000000000E+000
+1.87549906250E+004, +1.69687539134E+000, +0.00000000000E+000
+2.50049875000E+004, +2.25349241067E+000, +0.00000000000E+000
+3.12549843750E+004, +2.81200142878E+000, +0.00000000000E+000
+3.75049812500E+004, +3.37003533525E+000, +0.00000000000E+000
+4.37549781250E+004, +3.92766859792E+000, +0.00000000000E+000
+5.00049750000E+004, +4.48645575945E+000, +0.00000000000E+000
+5.62549718750E+004, +5.04502263590E+000, +0.00000000000E+000
+6.25049687500E+004, +5.60339100041E+000, +0.00000000000E+000
+6.87549656250E+004, +6.16265053720E+000, +0.00000000000E+000
+7.50049625000E+004, +6.72304471466E+000, +0.00000000000E+000
+8.12549593750E+004, +7.28232570442E+000, +0.00000000000E+000
+8.75049562500E+004, +7.84346388822E+000, +0.00000000000E+000
+9.37549531250E+004, +8.41648393509E+000, +0.00000000000E+000
+1.00004950000E+005, +8.97783421338E+000, +0.00000000000E+000
+1.06254946875E+005, +9.54104996595E+000, +0.00000000000E+000
+1.12504943750E+005, +1.01028047562E+001, +0.00000000000E+000
+1.18754940625E+005, +1.06658628015E+001, +0.00000000000E+000
+1.25004937500E+005, +1.12291007656E+001, +0.00000000000E+000
+1.31254934375E+005, +1.17922613108E+001, +0.00000000000E+000
+1.37504931250E+005, +1.23577132270E+001, +0.00000000000E+000
+1.43754928125E+005, +1.29208951771E+001, +0.00000000000E+000
+1.50004925000E+005, +1.34852349821E+001, +0.00000000000E+000
+1.56254921875E+005, +1.40497065948E+001, +0.00000000000E+000
+1.62504918750E+005, +1.46139292429E+001, +0.00000000000E+000
+1.68754915625E+005, +1.51815500573E+001, +0.00000000000E+000
+1.75004912500E+005, +1.57443409595E+001, +0.00000000000E+000
+1.81254909375E+005, +1.63104674182E+001, +0.00000000000E+000
+1.87504906250E+005, +1.68742402597E+001, +0.00000000000E+000
+1.93754903125E+005, +1.74395655755E+001, +0.00000000000E+000
+2.00004900000E+005, +1.80048444537E+001, +0.00000000000E+000
+2.06254896875E+005, +1.85692334226E+001, +0.00000000000E+000
+2.12504893750E+005, +1.91345750028E+001, +0.00000000000E+000
+2.18754890625E+005, +1.97024591466E+001, +0.00000000000E+000
