"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+5.00000000000E+000, -2.38063236195E-002, +0.00000000000E+000
+6.25499687500E+003, +3.08615082088E-005, +0.00000000000E+000
+1.25049937500E+004, +3.00989274308E-005, +0.00000000000E+000
+1.87549906250E+004, +2.99996854379E-005, +0.00000000000E+000
+2.50049875000E+004, +2.99611177864E-005, +0.00000000000E+000
+3.12549843750E+004, +2.99459302795E-005, +0.00000000000E+000
+3.75049812500E+004, +2.99258769319E-005, +0.00000000000E+000
+4.37549781250E+004, +2.99085094300E-005, +0.00000000000E+000
+5.00049750000E+004, +2.99040907086E-005, +0.00000000000E+000
+5.62549718750E+004, +2.98974922506E-005, +0.00000000000E+000
+6.25049687500E+004, +2.98912908547E-005, +0.00000000000E+000
+6.87549656250E+004, +2.98893696169E-005, +0.00000000000E+000
+7.50049625000E+004, +2.98953171621E-005, +0.00000000000E+000
+8.12549593750E+004, +2.98937017778E-005, +0.00000000000E+000
+8.75049562500E+004, +2.99001571127E-005, +0.00000000000E+000
+9.37549531250E+004, +2.99333206914E-005, +0.00000000000E+000
+1.00004950000E+005, +2.99383917866E-005, +0.00000000000E+000
+1.06254946875E+005, +2.99476629729E-005, +0.00000000000E+000
+1.12504943750E+005, +2.99512581225E-005, +0.00000000000E+000
+1.18754940625E+005, +2.99595137911E-005, +0.00000000000E+000
+1.25004937500E+005, +2.99670865298E-005, +0.00000000000E+000
+1.31254934375E+005, +2.99734001237E-005, +0.00000000000E+000
+1.37504931250E+005, +2.99854843771E-005, +0.00000000000E+000
+1.43754928125E+005, +2.99908232921E-005, +0.00000000000E+000
+1.50004925000E+005, +2.99997376097E-005, +0.00000000000E+000
+1.56254921875E+005, +3.00079960081E-005, +0.00000000000E+000
+1.62504918750E+005, +3.00151672960E-005, +0.00000000000E+000
+1.68754915625E+005, +3.00283795346E-005, +0.00000000000E+000
+1.75004912500E+005, +3.00329286596E-005, +0.00000000000E+000
+1.81254909375E+005, +3.00429741294E-005, +0.00000000000E+000
+1.87504906250E+005, +3.00482540474E-005, +0.00000000000E+000
+1.93754903125E+005, +3.00568463024E-005, +0.00000000000E+000
+2.00004900000E+005, +3.00647116508E-005, +0.00000000000E+000
+2.06254896875E+005, +3.00710331103E-005, +0.00000000000E+000
+2.12504893750E+005, +3.00785240312E-005, +0.00000000000E+000
+2.18754890625E+005, +3.00907642778E-005, +0.00000000000E+000
+2.25004887500E+005, +3.00956976820E-005, +0.00000000000E+000
+2.31254884375E+005, +3.01072937037E-005, +0.00000000000E+000
+2.37504881250E+005, +3.01124239177E-005, +0.00000000000E+000
+2.43754878125E+005, +3.01233288804E-005, +0.00000000000E+000
+2.50004875000E+005, +3.01338412621E-005, +0.00000000000E+000
+2.56254871875E+005, +3.01431972171E-005, +0.00000000000E+000
+2.62504868750E+005, +3.01478603107E-005, +0.00000000000E+000
+2.68754865625E+005, +3.01570655314E-005, +0.00000000000E+000
+2.75004862500E+005, +3.01663251870E-005, +0.00000000000E+000
+2.81254859375E+005, +3.01813545007E-005, +0.00000000000E+000
+2.87504856250E+005, +3.01907500530E-005, +0.00000000000E+000
+2.93754853125E+005, +3.02052785428E-005, +0.00000000000E+000
+3.00004850000E+005, +3.02195736673E-005, +0.00000000000E+000
+3.06254846875E+005, +3.02283555686E-005, +0.00000000000E+000
+3.12504843750E+005, +3.02373285211E-005, +0.00000000000E+000
+3.18754840625E+005, +3.02518617195E-005, +0.00000000000E+000
+3.25004837500E+005, +3.02605918671E-005, +0.00000000000E+000
+3.31254834375E+005, +3.02694160953E-005, +0.00000000000E+000
+3.37504831250E+005, +3.02785841357E-005, +0.00000000000E+000
+3.43754828125E+005, +3.02934265479E-005, +0.00000000000E+000
+3.50004825000E+005, +3.03023205784E-005, +0.00000000000E+000
+3.56254821875E+005, +3.03119922675E-005, +0.00000000000E+000
+3.62504818750E+005, +3.03217863859E-005, +0.00000000000E+000
+3.68754815625E+005, +3.03374769724E-005, +0.00000000000E+000
+3.75004812500E+005, +3.03470894433E-005, +0.00000000000E+000
+3.81254809375E+005, +3.03569964979E-005, +0.00000000000E+000
+3.87504806250E+005, +3.03675609475E-005, +0.00000000000E+000
+3.93754803125E+005, +3.03815752528E-005, +0.00000000000E+000
+4.00004800000E+005, +3.03922929541E-005, +0.00000000000E+000
+4.06254796875E+005, +3.04026065646E-005, +0.00000000000E+000
+4.12504793750E+005, +3.04179970480E-005, +0.00000000000E+000
+4.18754790625E+005, +3.04284871977E-005, +0.00000000000E+000
+4.25004787500E+005, +3.04395844337E-005, +0.00000000000E+000
+4.31254784375E+005, +3.04553567918E-005, +0.00000000000E+000
+4.37504781250E+005, +3.04666308805E-005, +0.00000000000E+000
+4.43754778125E+005, +3.04779266963E-005, +0.00000000000E+000
+4.50004775000E+005, +3.04952016349E-005, +0.00000000000E+000
+4.56254771875E+005, +3.05062342329E-005, +0.00000000000E+000
+4.62504768750E+005, +3.05176850982E-005, +0.00000000000E+000
+4.68754765625E+005, +3.05296051987E-005, +0.00000000000E+000
+4.75004762500E+005, +3.05462234529E-005, +0.00000000000E+000
+4.81254759375E+005, +3.05580619823E-005, +0.00000000000E+000
+4.87504756250E+005, +3.05718903264E-005, +0.00000000000E+000
+4.93754753125E+005, +3.05837888876E-005, +0.00000000000E+000
+5.00004750000E+005, +3.06013235069E-005, +0.00000000000E+000
+5.06254746875E+005, +3.06139460393E-005, +0.00000000000E+000
+5.12504743750E+005, +3.06317998357E-005, +0.00000000000E+000
+5.18754740625E+005, +3.06446377543E-005, +0.00000000000E+000
+5.25004737500E+005, +3.06596938074E-005, +0.00000000000E+000
+5.31254734375E+005, +3.06769375441E-005, +0.00000000000E+000
+5.37504731250E+005, +3.06916549339E-005, +0.00000000000E+000
+5.43754728125E+005, +3.07054405760E-005, +0.00000000000E+000
+5.50004725000E+005, +3.07195745080E-005, +0.00000000000E+000
+5.56254721875E+005, +3.07329413206E-005, +0.00000000000E+000
+5.62504718750E+005, +3.07487395186E-005, +0.00000000000E+000
+5.68754715625E+005, +3.07631028204E-005, +0.00000000000E+000
+5.75004712500E+005, +3.07845711663E-005, +0.00000000000E+000
+5.81254709375E+005, +3.08042930714E-005, +0.00000000000E+000
+5.87504706250E+005, +3.08197661348E-005, +0.00000000000E+000
+5.93754703125E+005, +3.08346369454E-005, +0.00000000000E+000
+6.00004700000E+005, +3.08507581742E-005, +0.00000000000E+000
+6.06254696875E+005, +3.08659417906E-005, +0.00000000000E+000
+6.12504693750E+005, +3.08866955459E-005, +0.00000000000E+000
+6.18754690625E+005, +3.09038234549E-005, +0.00000000000E+000
+6.25004687500E+005, +3.09219903051E-005, +0.00000000000E+000
+6.31254684375E+005, +3.09378116708E-005, +0.00000000000E+000
+6.37504681250E+005, +3.09546241873E-005, +0.00000000000E+000
+6.43754678125E+005, +3.09772502249E-005, +0.00000000000E+000
+6.50004675000E+005, +3.09944745779E-005, +0.00000000000E+000
+6.56254671875E+005, +3.10113431824E-005, +0.00000000000E+000
+6.62504668750E+005, +3.10299484440E-005, +0.00000000000E+000
+6.68754665625E+005, +3.10477648205E-005, +0.00000000000E+000
+6.75004662500E+005, +3.10656745880E-005, +0.00000000000E+000
+6.81254659375E+005, +3.10888642396E-005, +0.00000000000E+000
+6.87504656250E+005, +3.11081363936E-005, +0.00000000000E+000
+6.93754653125E+005, +3.11266801722E-005, +0.00000000000E+000
+7.00004650000E+005, +3.11459138216E-005, +0.00000000000E+000
+7.06254646875E+005, +3.11642452482E-005, +0.00000000000E+000
+7.12504643750E+005, +3.11898950997E-005, +0.00000000000E+000
+7.18754640625E+005, +3.12096278350E-005, +0.00000000000E+000
+7.25004637500E+005, +3.12299310540E-005, +0.00000000000E+000
+7.31254634375E+005, +3.12494677944E-005, +0.00000000000E+000
+7.37504631250E+005, +3.12245485771E-005, +0.00000000000E+000
+7.43754628125E+005, +3.12464865580E-005, +0.00000000000E+000
+7.50004625000E+005, +3.12750372555E-005, +0.00000000000E+000
+7.56254621875E+005, +3.12972268651E-005, +0.00000000000E+000
+7.62504618750E+005, +3.13194178115E-005, +0.00000000000E+000
+7.68754615625E+005, +3.13445405927E-005, +0.00000000000E+000
+7.75004612500E+005, +3.13740294624E-005, +0.00000000000E+000
+7.81254609375E+005, +3.13983267422E-005, +0.00000000000E+000
+7.87504606250E+005, +3.14175321254E-005, +0.00000000000E+000
+7.93754603125E+005, +3.14407874089E-005, +0.00000000000E+000
+8.00004600000E+005, +3.14666257572E-005, +0.00000000000E+000
+8.06254596875E+005, +3.14911836593E-005, +0.00000000000E+000
+8.12504593750E+005, +3.15165595717E-005, +0.00000000000E+000
+8.18754590625E+005, +3.15455311002E-005, +0.00000000000E+000
+8.25004587500E+005, +3.15698689361E-005, +0.00000000000E+000
+8.31254584375E+005, +3.15950973060E-005, +0.00000000000E+000
+8.37504581250E+005, +3.16208255458E-005, +0.00000000000E+000
+8.43754578125E+005, +3.16452221142E-005, +0.00000000000E+000
+8.50004575000E+005, +3.16721893915E-005, +0.00000000000E+000
+8.56254571875E+005, +3.16983461258E-005, +0.00000000000E+000
+8.62504568750E+005, +3.17241869908E-005, +0.00000000000E+000
+8.68754565625E+005, +3.17505494635E-005, +0.00000000000E+000
+8.75004562500E+005, +3.17758422252E-005, +0.00000000000E+000
+8.81254559375E+005, +3.18095569456E-005, +0.00000000000E+000
+8.87504556250E+005, +3.18359197654E-005, +0.00000000000E+000
+8.93754553125E+005, +3.18651340684E-005, +0.00000000000E+000
+9.00004550000E+005, +3.18943801614E-005, +0.00000000000E+000
+9.06254546875E+005, +3.19211458513E-005, +0.00000000000E+000
+9.12504543750E+005, +3.19497113321E-005, +0.00000000000E+000
+9.18754540625E+005, +3.19779364606E-005, +0.00000000000E+000
+9.25004537500E+005, +3.20053242510E-005, +0.00000000000E+000
+9.31254534375E+005, +3.20344543023E-005, +0.00000000000E+000
+9.37504531250E+005, +3.20634711378E-005, +0.00000000000E+000
+9.43754528125E+005, +3.20913000053E-005, +0.00000000000E+000
+9.50004525000E+005, +3.21195824083E-005, +0.00000000000E+000
+9.56254521875E+005, +3.21495614168E-005, +0.00000000000E+000
+9.62504518750E+005, +3.21798077122E-005, +0.00000000000E+000
+9.68754515625E+005, +3.22099805095E-005, +0.00000000000E+000
+9.75004512500E+005, +3.22453393999E-005, +0.00000000000E+000
