"# Channel 1"
"# Trace 2"
Frequency, Formatted Data, Formatted Data
+5.00000000000E+000, -1.79941529716E+002, +0.00000000000E+000
+6.25499687500E+003, +1.77353735140E+002, +0.00000000000E+000
+1.25049937500E+004, +1.74649708006E+002, +0.00000000000E+000
+1.87549906250E+004, +1.71957413195E+002, +0.00000000000E+000
+2.50049875000E+004, +1.69278717036E+002, +0.00000000000E+000
+3.12549843750E+004, +1.66614516048E+002, +0.00000000000E+000
+3.75049812500E+004, +1.63969765839E+002, +0.00000000000E+000
+4.37549781250E+004, +1.61344262346E+002, +0.00000000000E+000
+5.00049750000E+004, +1.58733311021E+002, +0.00000000000E+000
+5.62549718750E+004, +1.56147434966E+002, +0.00000000000E+000
+6.25049687500E+004, +1.53587465440E+002, +0.00000000000E+000
+6.87549656250E+004, +1.51051137865E+002, +0.00000000000E+000
+7.50049625000E+004, +1.48535560441E+002, +0.00000000000E+000
+8.12549593750E+004, +1.46058158787E+002, +0.00000000000E+000
+8.75049562500E+004, +1.43604181948E+002, +0.00000000000E+000
+9.37549531250E+004, +1.41151272168E+002, +0.00000000000E+000
+1.00004950000E+005, +1.38766049827E+002, +0.00000000000E+000
+1.06254946875E+005, +1.36410001424E+002, +0.00000000000E+000
+1.12504943750E+005, +1.34099170435E+002, +0.00000000000E+000
+1.18754940625E+005, +1.31819635306E+002, +0.00000000000E+000
+1.25004937500E+005, +1.29581336845E+002, +0.00000000000E+000
+1.31254934375E+005, +1.27382476885E+002, +0.00000000000E+000
+1.37504931250E+005, +1.25215770089E+002, +0.00000000000E+000
+1.43754928125E+005, +1.23099574252E+002, +0.00000000000E+000
+1.50004925000E+005, +1.21018872230E+002, +0.00000000000E+000
+1.56254921875E+005, +1.18979879939E+002, +0.00000000000E+000
+1.62504918750E+005, +1.16983097407E+002, +0.00000000000E+000
+1.68754915625E+005, +1.15017169177E+002, +0.00000000000E+000
+1.75004912500E+005, +1.13105980991E+002, +0.00000000000E+000
+1.81254909375E+005, +1.11227000143E+002, +0.00000000000E+000
+1.87504906250E+005, +1.09395348759E+002, +0.00000000000E+000
+1.93754903125E+005, +1.07599661336E+002, +0.00000000000E+000
+2.00004900000E+005, +1.05841863461E+002, +0.00000000000E+000
+2.06254896875E+005, +1.04126962809E+002, +0.00000000000E+000
+2.12504893750E+005, +1.02448788728E+002, +0.00000000000E+000
+2.18754890625E+005, +1.00799073665E+002, +0.00000000000E+000
+2.25004887500E+005, +9.91995923000E+001, +0.00000000000E+000
+2.31254884375E+005, +9.76259730277E+001, +0.00000000000E+000
+2.37504881250E+005, +9.60987341981E+001, +0.00000000000E+000
+2.43754878125E+005, +9.45963654330E+001, +0.00000000000E+000
+2.50004875000E+005, +9.31301151185E+001, +0.00000000000E+000
+2.56254871875E+005, +9.16975548390E+001, +0.00000000000E+000
+2.62504868750E+005, +9.03089451665E+001, +0.00000000000E+000
+2.68754865625E+005, +8.89423929297E+001, +0.00000000000E+000
+2.75004862500E+005, +8.76087492486E+001, +0.00000000000E+000
+2.81254859375E+005, +8.62949494052E+001, +0.00000000000E+000
+2.87504856250E+005, +8.50211051718E+001, +0.00000000000E+000
+2.93754853125E+005, +8.37679299363E+001, +0.00000000000E+000
+3.00004850000E+005, +8.25433700623E+001, +0.00000000000E+000
+3.06254846875E+005, +8.13567107949E+001, +0.00000000000E+000
+3.12504843750E+005, +8.01970555830E+001, +0.00000000000E+000
+3.18754840625E+005, +7.90541794055E+001, +0.00000000000E+000
+3.25004837500E+005, +7.79474808937E+001, +0.00000000000E+000
+3.31254834375E+005, +7.68663733820E+001, +0.00000000000E+000
+3.37504831250E+005, +7.58087099237E+001, +0.00000000000E+000
+3.43754828125E+005, +7.47650259380E+001, +0.00000000000E+000
+3.50004825000E+005, +7.37548685967E+001, +0.00000000000E+000
+3.56254821875E+005, +7.27672885874E+001, +0.00000000000E+000
+3.62504818750E+005, +7.17999008683E+001, +0.00000000000E+000
+3.68754815625E+005, +7.08441951565E+001, +0.00000000000E+000
+3.75004812500E+005, +6.99199761197E+001, +0.00000000000E+000
+3.81254809375E+005, +6.90151526509E+001, +0.00000000000E+000
+3.87504806250E+005, +6.81299708366E+001, +0.00000000000E+000
+3.93754803125E+005, +6.72567822149E+001, +0.00000000000E+000
+4.00004800000E+005, +6.64087764161E+001, +0.00000000000E+000
+4.06254796875E+005, +6.55791798955E+001, +0.00000000000E+000
+4.12504793750E+005, +6.47601097588E+001, +0.00000000000E+000
+4.18754790625E+005, +6.39651608927E+001, +0.00000000000E+000
+4.25004787500E+005, +6.31862084995E+001, +0.00000000000E+000
+4.31254784375E+005, +6.24156993967E+001, +0.00000000000E+000
+4.37504781250E+005, +6.16691222297E+001, +0.00000000000E+000
+4.43754778125E+005, +6.09388345173E+001, +0.00000000000E+000
+4.50004775000E+005, +6.02114061142E+001, +0.00000000000E+000
+4.56254771875E+005, +5.95104579478E+001, +0.00000000000E+000
+4.62504768750E+005, +5.88225963059E+001, +0.00000000000E+000
+4.68754765625E+005, +5.81474941842E+001, +0.00000000000E+000
+4.75004762500E+005, +5.74789865587E+001, +0.00000000000E+000
+4.81254759375E+005, +5.68314420104E+001, +0.00000000000E+000
+4.87504756250E+005, +5.61928263400E+001, +0.00000000000E+000
+4.93754753125E+005, +5.55703478115E+001, +0.00000000000E+000
+5.00004750000E+005, +5.49505627283E+001, +0.00000000000E+000
+5.06254746875E+005, +5.43518372647E+001, +0.00000000000E+000
+5.12504743750E+005, +5.37549292250E+001, +0.00000000000E+000
+5.18754740625E+005, +5.31777047684E+001, +0.00000000000E+000
+5.25004737500E+005, +5.26081046089E+001, +0.00000000000E+000
+5.31254734375E+005, +5.20450676225E+001, +0.00000000000E+000
+5.37504731250E+005, +5.14980898508E+001, +0.00000000000E+000
+5.43754728125E+005, +5.09611688613E+001, +0.00000000000E+000
+5.50004725000E+005, +5.04345976092E+001, +0.00000000000E+000
+5.56254721875E+005, +4.99182131258E+001, +0.00000000000E+000
+5.62504718750E+005, +4.94073766724E+001, +0.00000000000E+000
+5.68754715625E+005, +4.89085244447E+001, +0.00000000000E+000
+5.75004712500E+005, +4.84084590889E+001, +0.00000000000E+000
+5.81254709375E+005, +4.79190676795E+001, +0.00000000000E+000
+5.87504706250E+005, +4.74454304120E+001, +0.00000000000E+000
+5.93754703125E+005, +4.69796859713E+001, +0.00000000000E+000
+6.00004700000E+005, +4.65215086552E+001, +0.00000000000E+000
+6.06254696875E+005, +4.60715891188E+001, +0.00000000000E+000
+6.12504693750E+005, +4.56216975714E+001, +0.00000000000E+000
+6.18754690625E+005, +4.51853800222E+001, +0.00000000000E+000
+6.25004687500E+005, +4.47548850811E+001, +0.00000000000E+000
+6.31254684375E+005, +4.43340663964E+001, +0.00000000000E+000
+6.37504681250E+005, +4.39197914592E+001, +0.00000000000E+000
+6.43754678125E+005, +4.35045506690E+001, +0.00000000000E+000
+6.50004675000E+005, +4.31022826460E+001, +0.00000000000E+000
+6.56254671875E+005, +4.27084655297E+001, +0.00000000000E+000
+6.62504668750E+005, +4.23178897613E+001, +0.00000000000E+000
+6.68754665625E+005, +4.19353425449E+001, +0.00000000000E+000
+6.75004662500E+005, +4.15584443568E+001, +0.00000000000E+000
+6.81254659375E+005, +4.11805228866E+001, +0.00000000000E+000
+6.87504656250E+005, +4.08147367730E+001, +0.00000000000E+000
+6.93754653125E+005, +4.04548179622E+001, +0.00000000000E+000
+7.00004650000E+005, +4.00995723808E+001, +0.00000000000E+000
+7.06254646875E+005, +3.97503100311E+001, +0.00000000000E+000
+7.12504643750E+005, +3.93988678575E+001, +0.00000000000E+000
+7.18754640625E+005, +3.90607322104E+001, +0.00000000000E+000
+7.25004637500E+005, +3.87252668968E+001, +0.00000000000E+000
+7.31254634375E+005, +3.83961428334E+001, +0.00000000000E+000
+7.37504631250E+005, +3.81218524122E+001, +0.00000000000E+000
+7.43754628125E+005, +3.77994321598E+001, +0.00000000000E+000
+7.50004625000E+005, +3.74752766130E+001, +0.00000000000E+000
+7.56254621875E+005, +3.71622030693E+001, +0.00000000000E+000
+7.62504618750E+005, +3.68537437731E+001, +0.00000000000E+000
+7.68754615625E+005, +3.65481886239E+001, +0.00000000000E+000
+7.75004612500E+005, +3.62405930071E+001, +0.00000000000E+000
+7.81254609375E+005, +3.59435294357E+001, +0.00000000000E+000
+7.87504606250E+005, +3.56549568400E+001, +0.00000000000E+000
+7.93754603125E+005, +3.53668961416E+001, +0.00000000000E+000
+8.00004600000E+005, +3.50811625991E+001, +0.00000000000E+000
+8.06254596875E+005, +3.47994897040E+001, +0.00000000000E+000
+8.12504593750E+005, +3.45226329694E+001, +0.00000000000E+000
+8.18754590625E+005, +3.42443485471E+001, +0.00000000000E+000
+8.25004587500E+005, +3.39748475179E+001, +0.00000000000E+000
+8.31254584375E+005, +3.37096331194E+001, +0.00000000000E+000
+8.37504581250E+005, +3.34458007359E+001, +0.00000000000E+000
+8.43754578125E+005, +3.31887323408E+001, +0.00000000000E+000
+8.50004575000E+005, +3.29307093735E+001, +0.00000000000E+000
+8.56254571875E+005, +3.26781223163E+001, +0.00000000000E+000
+8.62504568750E+005, +3.24281692203E+001, +0.00000000000E+000
+8.68754565625E+005, +3.21811752220E+001, +0.00000000000E+000
+8.75004562500E+005, +3.19385531574E+001, +0.00000000000E+000
+8.81254559375E+005, +3.16917180495E+001, +0.00000000000E+000
+8.87504556250E+005, +3.14539815600E+001, +0.00000000000E+000
+8.93754553125E+005, +3.12183427529E+001, +0.00000000000E+000
+9.00004550000E+005, +3.09877748765E+001, +0.00000000000E+000
+9.06254546875E+005, +3.07580548579E+001, +0.00000000000E+000
+9.12504543750E+005, +3.05307226144E+001, +0.00000000000E+000
+9.18754540625E+005, +3.03070421088E+001, +0.00000000000E+000
+9.25004537500E+005, +3.00864774150E+001, +0.00000000000E+000
+9.31254534375E+005, +2.98681281810E+001, +0.00000000000E+000
+9.37504531250E+005, +2.96524876484E+001, +0.00000000000E+000
+9.43754528125E+005, +2.94393600765E+001, +0.00000000000E+000
+9.50004525000E+005, +2.92294455344E+001, +0.00000000000E+000
+9.56254521875E+005, +2.90207764489E+001, +0.00000000000E+000
+9.62504518750E+005, +2.88147133141E+001, +0.00000000000E+000
+9.68754515625E+005, +2.86096337235E+001, +0.00000000000E+000
+9.75004512500E+005, +2.84052771936E+001, +0.00000000000E+000
+9.81254509375E+005, +2.82051438681E+001, +0.00000000000E+000
+9.87504506250E+005, +2.80069653555E+001, +0.00000000000E+000
+9.93754503125E+005, +2.78114010319E+001, +0.00000000000E+000
+1.00000450000E+006, +2.76192477072E+001, +0.00000000000E+000
+1.00625449688E+006, +2.74283133921E+001, +0.00000000000E+000
+1.01250449375E+006, +2.72393490089E+001, +0.00000000000E+000
+1.01875449063E+006, +2.70527029112E+001, +0.00000000000E+000
+1.02500448750E+006, +2.68674484760E+001, +0.00000000000E+000
+1.03125448438E+006, +2.66846844792E+001, +0.00000000000E+000
+1.03750448125E+006, +2.65050120474E+001, +0.00000000000E+000
+1.04375447813E+006, +2.63229497384E+001, +0.00000000000E+000
+1.05000447500E+006, +2.61462756316E+001, +0.00000000000E+000
+1.05625447188E+006, +2.59709511570E+001, +0.00000000000E+000
+1.06250446875E+006, +2.57977145331E+001, +0.00000000000E+000
+1.06875446563E+006, +2.56217032146E+001, +0.00000000000E+000
+1.07500446250E+006, +2.54524315340E+001, +0.00000000000E+000
+1.08125445937E+006, +2.52843514591E+001, +0.00000000000E+000
+1.08750445625E+006, +2.51168556165E+001, +0.00000000000E+000
+1.09375445313E+006, +2.49533630492E+001, +0.00000000000E+000
+1.10000445000E+006, +2.47888994526E+001, +0.00000000000E+000
+1.10625444687E+006, +2.46281696560E+001, +0.00000000000E+000
+1.11250444375E+006, +2.44674834862E+001, +0.00000000000E+000
+1.11875444063E+006, +2.43057104966E+001, +0.00000000000E+000
+1.12500443750E+006, +2.41481996163E+001, +0.00000000000E+000
+1.13125443438E+006, +2.39933507546E+001, +0.00000000000E+000
+1.13750443125E+006, +2.38387793610E+001, +0.00000000000E+000
+1.14375442812E+006, +2.36905968775E+001, +0.00000000000E+000
+1.15000442500E+006, +2.35405380542E+001, +0.00000000000E+000
+1.15625442188E+006, +2.33904613839E+001, +0.00000000000E+000
+1.16250441875E+006, +2.32390220296E+001, +0.00000000000E+000
+1.16875441562E+006, +2.30930100344E+001, +0.00000000000E+000
+1.17500441250E+006, +2.29464409563E+001, +0.00000000000E+000
+1.18125440938E+006, +2.28017432617E+001, +0.00000000000E+000
+1.18750440625E+006, +2.26586886404E+001, +0.00000000000E+000
+1.19375440313E+006, +2.25173085898E+001, +0.00000000000E+000
