"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+5.00000000000E+000, -4.30244677830E-002, +0.00000000000E+000
+6.25499687500E+003, -9.04250816499E-002, +0.00000000000E+000
+1.25049937500E+004, -9.07903445107E-002, +0.00000000000E+000
+1.87549906250E+004, -9.45376213104E-002, +0.00000000000E+000
+2.50049875000E+004, -9.81809645422E-002, +0.00000000000E+000
+3.12549843750E+004, -1.01308059649E-001, +0.00000000000E+000
+3.75049812500E+004, -1.03517722379E-001, +0.00000000000E+000
+4.37549781250E+004, -1.04635705862E-001, +0.00000000000E+000
+5.00049750000E+004, -1.03943365248E-001, +0.00000000000E+000
+5.62549718750E+004, -1.03605220304E-001, +0.00000000000E+000
+6.25049687500E+004, -1.02628434182E-001, +0.00000000000E+000
+6.87549656250E+004, -1.01333280891E-001, +0.00000000000E+000
+7.50049625000E+004, -9.89591525504E-002, +0.00000000000E+000
+8.12549593750E+004, -9.69640824180E-002, +0.00000000000E+000
+8.75049562500E+004, -9.46564034366E-002, +0.00000000000E+000
+9.37549531250E+004, -9.09779487720E-002, +0.00000000000E+000
+1.00004950000E+005, -8.85902693310E-002, +0.00000000000E+000
+1.06254946875E+005, -8.58522326604E-002, +0.00000000000E+000
+1.12504943750E+005, -8.37584820277E-002, +0.00000000000E+000
+1.18754940625E+005, -8.12885134041E-002, +0.00000000000E+000
+1.25004937500E+005, -7.87523440940E-002, +0.00000000000E+000
+1.31254934375E+005, -7.64195997074E-002, +0.00000000000E+000
+1.37504931250E+005, -7.39743829273E-002, +0.00000000000E+000
+1.43754928125E+005, -7.19145849069E-002, +0.00000000000E+000
+1.50004925000E+005, -6.93962740835E-002, +0.00000000000E+000
+1.56254921875E+005, -6.76540541900E-002, +0.00000000000E+000
+1.62504918750E+005, -6.54090182921E-002, +0.00000000000E+000
+1.68754915625E+005, -6.34245687090E-002, +0.00000000000E+000
+1.75004912500E+005, -6.12556379109E-002, +0.00000000000E+000
+1.81254909375E+005, -5.93855764636E-002, +0.00000000000E+000
+1.87504906250E+005, -5.78359517823E-002, +0.00000000000E+000
+1.93754903125E+005, -5.61898965734E-002, +0.00000000000E+000
+2.00004900000E+005, -5.43057542366E-002, +0.00000000000E+000
+2.06254896875E+005, -5.25291036934E-002, +0.00000000000E+000
+2.12504893750E+005, -5.08817390637E-002, +0.00000000000E+000
+2.18754890625E+005, -4.94761677616E-002, +0.00000000000E+000
+2.25004887500E+005, -4.77492687146E-002, +0.00000000000E+000
+2.31254884375E+005, -4.65101323768E-002, +0.00000000000E+000
+2.37504881250E+005, -4.45786934787E-002, +0.00000000000E+000
+2.43754878125E+005, -4.35177241124E-002, +0.00000000000E+000
+2.50004875000E+005, -4.22489014184E-002, +0.00000000000E+000
+2.56254871875E+005, -4.10484860161E-002, +0.00000000000E+000
+2.62504868750E+005, -3.93417673170E-002, +0.00000000000E+000
+2.68754865625E+005, -3.79387960287E-002, +0.00000000000E+000
+2.75004862500E+005, -3.68775094222E-002, +0.00000000000E+000
+2.81254859375E+005, -3.61719826924E-002, +0.00000000000E+000
+2.87504856250E+005, -3.51760466975E-002, +0.00000000000E+000
+2.93754853125E+005, -3.46265692824E-002, +0.00000000000E+000
+3.00004850000E+005, -3.43551259231E-002, +0.00000000000E+000
+3.06254846875E+005, -3.31398960816E-002, +0.00000000000E+000
+3.12504843750E+005, -3.19552637251E-002, +0.00000000000E+000
+3.18754840625E+005, -3.17889970586E-002, +0.00000000000E+000
+3.25004837500E+005, -3.07493425862E-002, +0.00000000000E+000
+3.31254834375E+005, -2.97138940752E-002, +0.00000000000E+000
+3.37504831250E+005, -2.87194803643E-002, +0.00000000000E+000
+3.43754828125E+005, -2.83496159978E-002, +0.00000000000E+000
+3.50004825000E+005, -2.76579332961E-002, +0.00000000000E+000
+3.56254821875E+005, -2.65493752511E-002, +0.00000000000E+000
+3.62504818750E+005, -2.56361683783E-002, +0.00000000000E+000
+3.68754815625E+005, -2.57008073909E-002, +0.00000000000E+000
+3.75004812500E+005, -2.46439057490E-002, +0.00000000000E+000
+3.81254809375E+005, -2.33861257724E-002, +0.00000000000E+000
+3.87504806250E+005, -2.24566692338E-002, +0.00000000000E+000
