"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+5.00000000000E+000, +1.20788179694E-001, +0.00000000000E+000
+6.25499687500E+003, +1.18335504376E+000, +0.00000000000E+000
+1.25049937500E+004, +2.35027818700E+000, +0.00000000000E+000
+1.87549906250E+004, +3.52459103351E+000, +0.00000000000E+000
+2.50049875000E+004, +4.69859633725E+000, +0.00000000000E+000
+3.12549843750E+004, +5.87338551787E+000, +0.00000000000E+000
+3.75049812500E+004, +7.04550631756E+000, +0.00000000000E+000
+4.37549781250E+004, +8.21664863005E+000, +0.00000000000E+000
+5.00049750000E+004, +9.39048205098E+000, +0.00000000000E+000
+5.62549718750E+004, +1.05629973652E+001, +0.00000000000E+000
+6.25049687500E+004, +1.17350827943E+001, +0.00000000000E+000
+6.87549656250E+004, +1.29084711958E+001, +0.00000000000E+000
+7.50049625000E+004, +1.40854091365E+001, +0.00000000000E+000
+8.12549593750E+004, +1.52588839219E+001, +0.00000000000E+000
+8.75049562500E+004, +1.64366466752E+001, +0.00000000000E+000
+9.37549531250E+004, +1.76306566998E+001, +0.00000000000E+000
+1.00004950000E+005, +1.88095271137E+001, +0.00000000000E+000
+1.06254946875E+005, +1.99915886141E+001, +0.00000000000E+000
+1.12504943750E+005, +2.11703221157E+001, +0.00000000000E+000
+1.18754940625E+005, +2.23528163659E+001, +0.00000000000E+000
+1.25004937500E+005, +2.35354011570E+001, +0.00000000000E+000
+1.31254934375E+005, +2.47175265400E+001, +0.00000000000E+000
+1.37504931250E+005, +2.59051248178E+001, +0.00000000000E+000
+1.43754928125E+005, +2.70875592343E+001, +0.00000000000E+000
+1.50004925000E+005, +2.82737837602E+001, +0.00000000000E+000
+1.56254921875E+005, +2.94600488119E+001, +0.00000000000E+000
+1.62504918750E+005, +3.06458555994E+001, +0.00000000000E+000
+1.68754915625E+005, +3.18386181157E+001, +0.00000000000E+000
+1.75004912500E+005, +3.30228911728E+001, +0.00000000000E+000
+1.81254909375E+005, +3.42137693433E+001, +0.00000000000E+000
+1.87504906250E+005, +3.53998160689E+001, +0.00000000000E+000
+1.93754903125E+005, +3.65903085755E+001, +0.00000000000E+000
+2.00004900000E+005, +3.77805672973E+001, +0.00000000000E+000
+2.06254896875E+005, +3.89694308847E+001, +0.00000000000E+000
+2.12504893750E+005, +4.01603553243E+001, +0.00000000000E+000
+2.18754890625E+005, +4.13583867840E+001, +0.00000000000E+000
+2.25004887500E+005, +4.25470571790E+001, +0.00000000000E+000
+2.31254884375E+005, +4.37457849021E+001, +0.00000000000E+000
+2.37504881250E+005, +4.49357918547E+001, +0.00000000000E+000
+2.43754878125E+005, +4.61350196341E+001, +0.00000000000E+000
+2.50004875000E+005, +4.73344923262E+001, +0.00000000000E+000
+2.56254871875E+005, +4.85329273413E+001, +0.00000000000E+000
+2.62504868750E+005, +4.97243692671E+001, +0.00000000000E+000
+2.68754865625E+005, +5.09238415646E+001, +0.00000000000E+000
