"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+5.00000000000E+000, +1.26490300087E-001, +0.00000000000E+000
+6.25499687500E+003, +7.82669499771E-001, +0.00000000000E+000
+1.25049937500E+004, +1.50514126652E+000, +0.00000000000E+000
+1.87549906250E+004, +2.24504947818E+000, +0.00000000000E+000
+2.50049875000E+004, +2.98818105975E+000, +0.00000000000E+000
+3.12549843750E+004, +3.73246571684E+000, +0.00000000000E+000
+3.75049812500E+004, +4.47539862977E+000, +0.00000000000E+000
+4.37549781250E+004, +5.21808894631E+000, +0.00000000000E+000
+5.00049750000E+004, +5.96180283384E+000, +0.00000000000E+000
+5.62549718750E+004, +6.70544766250E+000, +0.00000000000E+000
+6.25049687500E+004, +7.44829840003E+000, +0.00000000000E+000
+6.87549656250E+004, +8.19206832590E+000, +0.00000000000E+000
+7.50049625000E+004, +8.93807618886E+000, +0.00000000000E+000
+8.12549593750E+004, +9.68226381441E+000, +0.00000000000E+000
+8.75049562500E+004, +1.04288101476E+001, +0.00000000000E+000
+9.37549531250E+004, +1.11885949417E+001, +0.00000000000E+000
+1.00004950000E+005, +1.19356472061E+001, +0.00000000000E+000
+1.06254946875E+005, +1.26853273723E+001, +0.00000000000E+000
+1.12504943750E+005, +1.34324927457E+001, +0.00000000000E+000
+1.18754940625E+005, +1.41814467075E+001, +0.00000000000E+000
+1.25004937500E+005, +1.49305879168E+001, +0.00000000000E+000
+1.31254934375E+005, +1.56799265794E+001, +0.00000000000E+000
+1.37504931250E+005, +1.64317957440E+001, +0.00000000000E+000
+1.43754928125E+005, +1.71808049281E+001, +0.00000000000E+000
+1.50004925000E+005, +1.79317119053E+001, +0.00000000000E+000
+1.56254921875E+005, +1.86830841077E+001, +0.00000000000E+000
+1.62504918750E+005, +1.94342058799E+001, +0.00000000000E+000
+1.68754915625E+005, +2.01888986809E+001, +0.00000000000E+000
+1.75004912500E+005, +2.09380037415E+001, +0.00000000000E+000
+1.81254909375E+005, +2.16909998385E+001, +0.00000000000E+000
+1.87504906250E+005, +2.24410976725E+001, +0.00000000000E+000
+1.93754903125E+005, +2.31934210125E+001, +0.00000000000E+000
+2.00004900000E+005, +2.39460622538E+001, +0.00000000000E+000
+2.06254896875E+005, +2.46973973967E+001, +0.00000000000E+000
+2.12504893750E+005, +2.54493335302E+001, +0.00000000000E+000
+2.18754890625E+005, +2.62055029709E+001, +0.00000000000E+000
+2.25004887500E+005, +2.69563848880E+001, +0.00000000000E+000
+2.31254884375E+005, +2.77120700321E+001, +0.00000000000E+000
+2.37504881250E+005, +2.84628701358E+001, +0.00000000000E+000
+2.43754878125E+005, +2.92190709150E+001, +0.00000000000E+000
+2.50004875000E+005, +2.99748193611E+001, +0.00000000000E+000
+2.56254871875E+005, +3.07303300195E+001, +0.00000000000E+000
+2.62504868750E+005, +3.14806435375E+001, +0.00000000000E+000
+2.68754865625E+005, +3.22359028480E+001, +0.00000000000E+000
+2.75004862500E+005, +3.29910332913E+001, +0.00000000000E+000
+2.81254859375E+005, +3.37529038863E+001, +0.00000000000E+000
+2.87504856250E+005, +3.45091130504E+001, +0.00000000000E+000
+2.93754853125E+005, +3.52711348576E+001, +0.00000000000E+000
+3.00004850000E+005, +3.60332951083E+001, +0.00000000000E+000
+3.06254846875E+005, +3.67897091051E+001, +0.00000000000E+000
+3.12504843750E+005, +3.75461133995E+001, +0.00000000000E+000
+3.18754840625E+005, +3.83085039714E+001, +0.00000000000E+000
+3.25004837500E+005, +3.90652235386E+001, +0.00000000000E+000
+3.31254834375E+005, +3.98218348643E+001, +0.00000000000E+000
+3.37504831250E+005, +4.05786702740E+001, +0.00000000000E+000
+3.43754828125E+005, +4.13428289052E+001, +0.00000000000E+000
+3.50004825000E+005, +4.21003396656E+001, +0.00000000000E+000
+3.56254821875E+005, +4.28580597023E+001, +0.00000000000E+000
+3.62504818750E+005, +4.36166059593E+001, +0.00000000000E+000
+3.68754815625E+005, +4.43838503829E+001, +0.00000000000E+000
+3.75004812500E+005, +4.51422985402E+001, +0.00000000000E+000
+3.81254809375E+005, +4.59008898225E+001, +0.00000000000E+000
+3.87504806250E+005, +4.66602539367E+001, +0.00000000000E+000
+3.93754803125E+005, +4.74258911001E+001, +0.00000000000E+000
+4.00004800000E+005, +4.81858668254E+001, +0.00000000000E+000
+4.06254796875E+005, +4.89457396499E+001, +0.00000000000E+000
+4.12504793750E+005, +4.97140572586E+001, +0.00000000000E+000
+4.18754790625E+005, +5.04747610420E+001, +0.00000000000E+000
+4.25004787500E+005, +5.12354313696E+001, +0.00000000000E+000
+4.31254784375E+005, +5.20050470486E+001, +0.00000000000E+000
+4.37504781250E+005, +5.27667787992E+001, +0.00000000000E+000
+4.43754778125E+005, +5.35279365711E+001, +0.00000000000E+000
+4.50004775000E+005, +5.43020708851E+001, +0.00000000000E+000
+4.56254771875E+005, +5.50634235991E+001, +0.00000000000E+000
+4.62504768750E+005, +5.58268814280E+001, +0.00000000000E+000
+4.68754765625E+005, +5.65904626256E+001, +0.00000000000E+000
+4.75004762500E+005, +5.73624674845E+001, +0.00000000000E+000
+4.81254759375E+005, +5.81262215567E+001, +0.00000000000E+000
+4.87504756250E+005, +5.88921763930E+001, +0.00000000000E+000
+4.93754753125E+005, +5.96572046142E+001, +0.00000000000E+000
+5.00004750000E+005, +6.04317788541E+001, +0.00000000000E+000
+5.06254746875E+005, +6.11966963071E+001, +0.00000000000E+000
+5.12504743750E+005, +6.19731483102E+001, +0.00000000000E+000
+5.18754740625E+005, +6.27389509625E+001, +0.00000000000E+000
+5.25004737500E+005, +6.35116582508E+001, +0.00000000000E+000
+5.31254734375E+005, +6.42879916509E+001, +0.00000000000E+000
+5.37504731250E+005, +6.50571566307E+001, +0.00000000000E+000
+5.43754728125E+005, +6.58242733760E+001, +0.00000000000E+000
+5.50004725000E+005, +6.65937855379E+001, +0.00000000000E+000
+5.56254721875E+005, +6.73617527787E+001, +0.00000000000E+000
+5.62504718750E+005, +6.81347026040E+001, +0.00000000000E+000
+5.68754715625E+005, +6.89054912926E+001, +0.00000000000E+000
+5.75004712500E+005, +6.96915688362E+001, +0.00000000000E+000
+5.81254709375E+005, +7.04739303153E+001, +0.00000000000E+000
+5.87504706250E+005, +7.12466300555E+001, +0.00000000000E+000
+5.93754703125E+005, +7.20188612367E+001, +0.00000000000E+000
+6.00004700000E+005, +7.27928518925E+001, +0.00000000000E+000
+6.06254696875E+005, +7.35653159474E+001, +0.00000000000E+000
+6.12504693750E+005, +7.43524286856E+001, +0.00000000000E+000
+6.18754690625E+005, +7.51289059374E+001, +0.00000000000E+000
+6.25004687500E+005, +7.59091542677E+001, +0.00000000000E+000
