"# Channel 2"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+5.00000000000E+000, +3.41367110513E+000, +0.00000000000E+000
+5.00049750000E+004, +3.42473893602E+000, +0.00000000000E+000
+1.00004950000E+005, +3.42720230332E+000, +0.00000000000E+000
+1.50004925000E+005, +3.42429064206E+000, +0.00000000000E+000
+2.00004900000E+005, +3.42544350176E+000, +0.00000000000E+000
+2.50004875000E+005, +3.42634414994E+000, +0.00000000000E+000
+3.00004850000E+005, +3.42621268991E+000, +0.00000000000E+000
+3.50004825000E+005, +3.42557455022E+000, +0.00000000000E+000
+4.00004800000E+005, +3.42620112130E+000, +0.00000000000E+000
+4.50004775000E+005, +3.42556181529E+000, +0.00000000000E+000
+5.00004750000E+005, +3.42547055419E+000, +0.00000000000E+000
+5.50004725000E+005, +3.42614462847E+000, +0.00000000000E+000
+6.00004700000E+005, +3.42589465584E+000, +0.00000000000E+000
+6.50004675000E+005, +3.42676870234E+000, +0.00000000000E+000
+7.00004650000E+005, +3.42732175599E+000, +0.00000000000E+000
+7.50004625000E+005, +3.42603761249E+000, +0.00000000000E+000
+8.00004600000E+005, +3.42913462698E+000, +0.00000000000E+000
+8.50004575000E+005, +3.42938848723E+000, +0.00000000000E+000
+9.00004550000E+005, +3.42802062556E+000, +0.00000000000E+000
+9.50004525000E+005, +3.42632549022E+000, +0.00000000000E+000
+1.00000450000E+006, +3.42614840864E+000, +0.00000000000E+000
+1.05000447500E+006, +3.42910931459E+000, +0.00000000000E+000
+1.10000445000E+006, +3.42871829387E+000, +0.00000000000E+000
+1.15000442500E+006, +3.42591025841E+000, +0.00000000000E+000
+1.20000440000E+006, +3.42454354557E+000, +0.00000000000E+000
+1.25000437500E+006, +3.42814931708E+000, +0.00000000000E+000
+1.30000435000E+006, +3.42258115936E+000, +0.00000000000E+000
+1.35000432500E+006, +3.41792934510E+000, +0.00000000000E+000
+1.40000430000E+006, +3.41748304516E+000, +0.00000000000E+000
+1.45000427500E+006, +3.42425490200E+000, +0.00000000000E+000
+1.50000425000E+006, +3.43186129601E+000, +0.00000000000E+000
+1.55000422500E+006, +3.43023591196E+000, +0.00000000000E+000
+1.60000420000E+006, +3.43658090784E+000, +0.00000000000E+000
+1.65000417500E+006, +3.43845707468E+000, +0.00000000000E+000
+1.70000415000E+006, +3.43406966046E+000, +0.00000000000E+000
+1.75000412500E+006, +3.43056620727E+000, +0.00000000000E+000
+1.80000410000E+006, +3.43128828312E+000, +0.00000000000E+000
+1.85000407500E+006, +3.43160030059E+000, +0.00000000000E+000
+1.90000405000E+006, +3.43350484343E+000, +0.00000000000E+000
+1.95000402500E+006, +3.43461126294E+000, +0.00000000000E+000
+2.00000400000E+006, +3.43308482324E+000, +0.00000000000E+000
+2.05000397500E+006, +3.43472472001E+000, +0.00000000000E+000
+2.10000395000E+006, +3.43607603934E+000, +0.00000000000E+000
+2.15000392500E+006, +3.43749884758E+000, +0.00000000000E+000
+2.20000390000E+006, +3.43824350059E+000, +0.00000000000E+000
+2.25000387500E+006, +3.43757094741E+000, +0.00000000000E+000
+2.30000385000E+006, +3.43800893862E+000, +0.00000000000E+000
+2.35000382500E+006, +3.43804912892E+000, +0.00000000000E+000
