"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+1.00000000000E+002, +1.39023320195E-002, +0.00000000000E+000
+6.34993750000E+003, +9.86566689169E-002, +0.00000000000E+000
+1.25998750000E+004, +7.27127279230E-002, +0.00000000000E+000
+1.88498125000E+004, +5.16562858664E-002, +0.00000000000E+000
+2.50997500000E+004, +3.07588913646E-002, +0.00000000000E+000
+3.13496875000E+004, +1.17982632638E-002, +0.00000000000E+000
+3.75996250000E+004, -4.56604699442E-003, +0.00000000000E+000
+4.38495625000E+004, -1.82663535129E-002, +0.00000000000E+000
+5.00995000000E+004, -2.95929836679E-002, +0.00000000000E+000
+5.63494375000E+004, -3.87861815732E-002, +0.00000000000E+000
+6.25993750000E+004, -4.64178471666E-002, +0.00000000000E+000
+6.88493125000E+004, -5.27723622320E-002, +0.00000000000E+000
+7.50992500000E+004, -5.70759078115E-002, +0.00000000000E+000
+8.13491875000E+004, -6.13137401450E-002, +0.00000000000E+000
+8.75991250000E+004, -6.40688727722E-002, +0.00000000000E+000
+9.38490625000E+004, -6.29858505943E-002, +0.00000000000E+000
+1.00099000000E+005, -6.48519214952E-002, +0.00000000000E+000
+1.06348937500E+005, -6.58325517313E-002, +0.00000000000E+000
+1.12598875000E+005, -6.73206338143E-002, +0.00000000000E+000
+1.18848812500E+005, -6.78440686532E-002, +0.00000000000E+000
+1.25098750000E+005, -6.83758792384E-002, +0.00000000000E+000
+1.31348687500E+005, -6.87773597132E-002, +0.00000000000E+000
+1.37598625000E+005, -6.85072054339E-002, +0.00000000000E+000
+1.43848562500E+005, -6.89645478350E-002, +0.00000000000E+000
+1.50098500000E+005, -6.87770750114E-002, +0.00000000000E+000
+1.56348437500E+005, -6.88314702708E-002, +0.00000000000E+000
+1.62598375000E+005, -6.88468439696E-002, +0.00000000000E+000
+1.68848312500E+005, -6.78690632407E-002, +0.00000000000E+000
+1.75098250000E+005, -6.80464225762E-002, +0.00000000000E+000
+1.81348187500E+005, -6.76572353254E-002, +0.00000000000E+000
+1.87598125000E+005, -6.79131477419E-002, +0.00000000000E+000
+1.93848062500E+005, -6.77980846754E-002, +0.00000000000E+000
+2.00098000000E+005, -6.74247360943E-002, +0.00000000000E+000
+2.06347937500E+005, -6.76333699202E-002, +0.00000000000E+000
+2.12597875000E+005, -6.74799256982E-002, +0.00000000000E+000
+2.18847812500E+005, -6.68268434489E-002, +0.00000000000E+000
+2.25097750000E+005, -6.70429349520E-002, +0.00000000000E+000
+2.31347687500E+005, -6.66407448442E-002, +0.00000000000E+000
+2.37597625000E+005, -6.68043889740E-002, +0.00000000000E+000
+2.43847562500E+005, -6.62139640896E-002, +0.00000000000E+000
+2.50097500000E+005, -6.58315024743E-002, +0.00000000000E+000
+2.56347437500E+005, -6.55586545700E-002, +0.00000000000E+000
+2.62597375000E+005, -6.58954879921E-002, +0.00000000000E+000
+2.68847312500E+005, -6.57307362429E-002, +0.00000000000E+000
+2.75097250000E+005, -6.55716573806E-002, +0.00000000000E+000
+2.81347187500E+005, -6.48299966278E-002, +0.00000000000E+000
+2.87597125000E+005, -6.46824641779E-002, +0.00000000000E+000
+2.93847062500E+005, -6.38507607845E-002, +0.00000000000E+000
+3.00097000000E+005, -6.30809732363E-002, +0.00000000000E+000
+3.06346937500E+005, -6.30123130775E-002, +0.00000000000E+000
+3.12596875000E+005, -6.30405602424E-002, +0.00000000000E+000
+3.18846812500E+005, -6.23756108956E-002, +0.00000000000E+000
+3.25096750000E+005, -6.24083157763E-002, +0.00000000000E+000
+3.31346687500E+005, -6.23496098555E-002, +0.00000000000E+000
+3.37596625000E+005, -6.23821683169E-002, +0.00000000000E+000
+3.43846562500E+005, -6.18099243406E-002, +0.00000000000E+000
+3.50096500000E+005, -6.21780440699E-002, +0.00000000000E+000
+3.56346437500E+005, -6.21629568107E-002, +0.00000000000E+000
+3.62596375000E+005, -6.22047361160E-002, +0.00000000000E+000
+3.68846312500E+005, -6.15714865291E-002, +0.00000000000E+000
+3.75096250000E+005, -6.16592628907E-002, +0.00000000000E+000
+3.81346187500E+005, -6.16226690158E-002, +0.00000000000E+000
+3.87596125000E+005, -6.16505101841E-002, +0.00000000000E+000
+3.93846062500E+005, -6.11397621522E-002, +0.00000000000E+000
+4.00096000000E+005, -6.15002481934E-002, +0.00000000000E+000
+4.06345937500E+005, -6.15887374518E-002, +0.00000000000E+000
+4.12595875000E+005, -6.10291734478E-002, +0.00000000000E+000
+4.18845812500E+005, -6.12826611727E-002, +0.00000000000E+000
+4.25095750000E+005, -6.14276193532E-002, +0.00000000000E+000
+4.31345687500E+005, -6.11460254799E-002, +0.00000000000E+000
+4.37595625000E+005, -6.12296092846E-002, +0.00000000000E+000
+4.43845562500E+005, -6.12931900984E-002, +0.00000000000E+000
+4.50095500000E+005, -6.07077507976E-002, +0.00000000000E+000
+4.56345437500E+005, -6.09225754465E-002, +0.00000000000E+000
+4.62595375000E+005, -6.13426179387E-002, +0.00000000000E+000
+4.68845312500E+005, -6.14315207513E-002, +0.00000000000E+000
+4.75095250000E+005, -6.11403408760E-002, +0.00000000000E+000
+4.81345187500E+005, -6.14257345696E-002, +0.00000000000E+000
+4.87595125000E+005, -6.15476816949E-002, +0.00000000000E+000
+4.93845062500E+005, -6.19232861363E-002, +0.00000000000E+000
+5.00095000000E+005, -6.13739237108E-002, +0.00000000000E+000
+5.06344937500E+005, -6.16749305042E-002, +0.00000000000E+000
+5.12594875000E+005, -6.11170693169E-002, +0.00000000000E+000
+5.18844812500E+005, -6.14600875830E-002, +0.00000000000E+000
+5.25094750000E+005, -6.11532477242E-002, +0.00000000000E+000
+5.31344687500E+005, -6.08501636824E-002, +0.00000000000E+000
