"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+1.00000000000E+002, -1.01092841490E+003, -7.88265787098E+003
+6.34993750000E+003, -7.27597327884E+000, -2.48009350485E+002
+1.25998750000E+004, -1.52094488911E+000, -1.25166045346E+002
+1.88498125000E+004, -5.64893491785E-001, -8.36561496177E+001
+2.50997500000E+004, -2.28206868933E-001, -6.28030594714E+001
+3.13496875000E+004, -6.82708337832E-002, -5.02603419382E+001
+3.75996250000E+004, +2.23653323050E-002, -4.18868393462E+001
+4.38495625000E+004, +7.96791407251E-002, -3.59005074090E+001
+5.00995000000E+004, +1.18810729441E-001, -3.14202860604E+001
+5.63494375000E+004, +1.46466017897E-001, -2.79285284080E+001
+6.25993750000E+004, +1.67368685637E-001, -2.51370304277E+001
+6.88493125000E+004, +1.83626179832E-001, -2.28546904422E+001
+7.50992500000E+004, +1.93132230048E-001, -2.09551346682E+001
+8.13491875000E+004, +2.02890900249E-001, -1.93447759134E+001
+8.75991250000E+004, +2.08219355525E-001, -1.79683394689E+001
+9.38490625000E+004, +2.01693030191E-001, -1.67749831245E+001
+1.00099000000E+005, +2.05129179404E-001, -1.57286376640E+001
+1.06348937500E+005, +2.06100026446E-001, -1.48079513050E+001
+1.12598875000E+005, +2.08923843988E-001, -1.39857812560E+001
+1.18848812500E+005, +2.08989778362E-001, -1.32532798486E+001
+1.25098750000E+005, +2.09284502602E-001, -1.25929853813E+001
+1.31348687500E+005, +2.09349341707E-001, -1.19951371642E+001
+1.37598625000E+005, +2.07523734440E-001, -1.14526343775E+001
+1.43848562500E+005, +2.08022774766E-001, -1.09544402860E+001
+1.50098500000E+005, +2.06685725216E-001, -1.05002726118E+001
+1.56348437500E+005, +2.06164598729E-001, -1.00805220561E+001
+1.62598375000E+005, +2.05604489915E-001, -9.69379189332E+000
+1.68848312500E+005, +2.02152315657E-001, -9.33590834043E+000
+1.75098250000E+005, +2.02201663618E-001, -9.00255321011E+000
+1.81348187500E+005, +2.00618374554E-001, -8.69289808201E+000
+1.87598125000E+005, +2.00989216042E-001, -8.40263588424E+000
+1.93848062500E+005, +2.00298468332E-001, -8.13126748593E+000
+2.00098000000E+005, +1.98879093866E-001, -7.87665860398E+000
+2.06347937500E+005, +1.99206000146E-001, -7.63785998417E+000
+2.12597875000E+005, +1.98490227315E-001, -7.41222164064E+000
+2.18847812500E+005, +1.96332281741E-001, -7.20148567083E+000
+2.25097750000E+005, +1.96746457735E-001, -7.00016961742E+000
+2.31347687500E+005, +1.95366713948E-001, -6.81193629927E+000
+2.37597625000E+005, +1.95660255725E-001, -6.63185793314E+000
+2.43847562500E+005, +1.93761492636E-001, -6.46203760003E+000
+2.50097500000E+005, +1.92485477564E-001, -6.29989776591E+000
+2.56347437500E+005, +1.91543121694E-001, -6.14598935207E+000
+2.62597375000E+005, +1.92391182193E-001, -5.99831392091E+000
+2.68847312500E+005, +1.91785180015E-001, -5.85902014294E+000
+2.75097250000E+005, +1.91203954528E-001, -5.72514244704E+000
+2.81347187500E+005, +1.88934341684E-001, -5.59856336221E+000
+2.87597125000E+005, +1.88403271522E-001, -5.47595109278E+000
+2.93847062500E+005, +1.85888243932E-001, -5.35981069537E+000
+3.00097000000E+005, +1.83560961295E-001, -5.24788644776E+000
+3.06346937500E+005, +1.83280190762E-001, -5.14043875934E+000
+3.12596875000E+005, +1.83286247826E-001, -5.03741522953E+000
+3.18846812500E+005, +1.81281898731E-001, -4.93820949564E+000
+3.25096750000E+005, +1.81309599627E-001, -4.84237318537E+000
+3.31346687500E+005, +1.81075658797E-001, -4.75031772360E+000
+3.37596625000E+005, +1.81110146726E-001, -4.66145527144E+000
+3.43846562500E+005, +1.79393217453E-001, -4.57690687647E+000
+3.50096500000E+005, +1.80407881277E-001, -4.49415641839E+000
+3.56346437500E+005, +1.80313202796E-001, -4.41431579256E+000
+3.62596375000E+005, +1.80386176844E-001, -4.33739364328E+000
+3.68846312500E+005, +1.78505313220E-001, -4.26436136868E+000
+3.75096250000E+005, +1.78716176523E-001, -4.19170913863E+000
+3.81346187500E+005, +1.78569556540E-001, -4.12295894831E+000
+3.87596125000E+005, +1.78611035000E-001, -4.05543184496E+000
+3.93846062500E+005, +1.77094827815E-001, -3.99098259402E+000
+4.00096000000E+005, +1.78103539884E-001, -3.92776064163E+000
+4.06345937500E+005, +1.78325878935E-001, -3.86638119892E+000
+4.12595875000E+005, +1.76674073154E-001, -3.80770116649E+000
+4.18845812500E+005, +1.77376798663E-001, -3.74938580861E+000
+4.25095750000E+005, +1.77766930176E-001, -3.69346975757E+000
+4.31345687500E+005, +1.76924041268E-001, -3.63925893112E+000
+4.37595625000E+005, +1.77139081683E-001, -3.58663691357E+000
+4.43845562500E+005, +1.77297285304E-001, -3.53542930227E+000
+4.50095500000E+005, +1.75579510024E-001, -3.48582744154E+000
+4.56345437500E+005, +1.76177385482E-001, -3.43756360280E+000
+4.62595375000E+005, +1.77369277223E-001, -3.39030743875E+000
+4.68845312500E+005, +1.77604139328E-001, -3.34370785843E+000
+4.75095250000E+005, +1.76741714073E-001, -3.29964652748E+000
+4.81345187500E+005, +1.77546418057E-001, -3.25587565877E+000
+4.87595125000E+005, +1.77880339315E-001, -3.21541221088E+000
+4.93845062500E+005, +1.78946985053E-001, -3.17394674853E+000
+5.00095000000E+005, +1.77341487997E-001, -3.13366563591E+000
+5.06344937500E+005, +1.78193781544E-001, -3.09416937185E+000
+5.12594875000E+005, +1.76565535207E-001, -3.05612586421E+000
+5.18844812500E+005, +1.77539928911E-001, -3.01757383663E+000
+5.25094750000E+005, +1.76637492310E-001, -2.97950283957E+000
+5.31344687500E+005, +1.75747135261E-001, -2.94353692224E+000
+5.37594625000E+005, +1.76113460267E-001, -2.90820888057E+000
+5.43844562500E+005, +1.76966133753E-001, -2.87403125998E+000
+5.50094500000E+005, +1.77393734881E-001, -2.84064280309E+000
+5.56344437500E+005, +1.78709413308E-001, -2.80804202622E+000
+5.62594375000E+005, +1.78861331095E-001, -2.77615056950E+000
+5.68844312500E+005, +1.79817058348E-001, -2.74362789909E+000
+5.75094250000E+005, +1.78649516796E-001, -2.71625617479E+000
+5.81344187500E+005, +1.77118545374E-001, -2.68651216650E+000
+5.87594125000E+005, +1.77529136673E-001, -2.65691431875E+000
+5.93844062500E+005, +1.78334594541E-001, -2.62827162167E+000
+6.00094000000E+005, +1.79096156819E-001, -2.59992060459E+000
+6.06343937500E+005, +1.80037975201E-001, -2.57227011553E+000
+6.12593875000E+005, +1.78547454886E-001, -2.54513698065E+000
+6.18843812500E+005, +1.79035097109E-001, -2.51817802516E+000
+6.25093750000E+005, +1.78498803664E-001, -2.49105277526E+000
+6.31343687500E+005, +1.79199635381E-001, -2.46562428222E+000
+6.37593625000E+005, +1.79961510649E-001, -2.44045521400E+000
+6.43843562500E+005, +1.78289123130E-001, -2.41545137385E+000
+6.50093500000E+005, +1.78708250205E-001, -2.39152312413E+000
+6.56343437500E+005, +1.79017008214E-001, -2.36851221047E+000
+6.62593375000E+005, +1.79911042216E-001, -2.34479600656E+000
+6.68843312500E+005, +1.80755646245E-001, -2.32175143109E+000
+6.75093250000E+005, +1.81345802435E-001, -2.29958675296E+000
+6.81343187500E+005, +1.79857663589E-001, -2.27834883626E+000
+6.87593125000E+005, +1.80448667251E-001, -2.25629033666E+000
+6.93843062500E+005, +1.81086038984E-001, -2.23536549296E+000
+7.00093000000E+005, +1.81189653108E-001, -2.21450044371E+000
+7.06342937500E+005, +1.82488479077E-001, -2.19376407649E+000
+7.12592875000E+005, +1.80352568533E-001, -2.17367274719E+000
+7.18842812500E+005, +1.81542481864E-001, -2.15410773673E+000
+7.25092750000E+005, +1.81292617827E-001, -2.13490197600E+000
+7.31342687500E+005, +1.84197327221E-001, -2.12067864258E+000
+7.37592625000E+005, +1.70517385528E-001, -2.16561789364E+000
+7.43842562500E+005, +1.69751250160E-001, -2.14600973912E+000
+7.50092500000E+005, +1.67174691056E-001, -2.12729493603E+000
+7.56342437500E+005, +1.66495702323E-001, -2.10825908410E+000
+7.62592375000E+005, +1.65991651023E-001, -2.08945327727E+000
+7.68842312500E+005, +1.65331472096E-001, -2.07116613450E+000
+7.75092250000E+005, +1.62728114896E-001, -2.05347966779E+000
+7.81342187500E+005, +1.57018054100E-001, -2.04185854385E+000
+7.87592125000E+005, +1.63450709395E-001, -2.01592088747E+000
+7.93842062500E+005, +1.63862159551E-001, -1.99860784088E+000
+8.00092000000E+005, +1.63179635065E-001, -1.98175286897E+000
+8.06341937500E+005, +1.63323412067E-001, -1.96506541126E+000
+8.12591875000E+005, +1.63053464057E-001, -1.94869749512E+000
+8.18841812500E+005, +1.61232034826E-001, -1.93271900636E+000
+8.25091750000E+005, +1.61636756641E-001, -1.91729460170E+000
+8.31341687500E+005, +1.61685679652E-001, -1.90161457407E+000
+8.37591625000E+005, +1.61495078066E-001, -1.88607990711E+000
+8.43841562500E+005, +1.61762380732E-001, -1.87061388416E+000
+8.50091500000E+005, +1.61065065091E-001, -1.85632422519E+000
+8.56341437500E+005, +1.61109951981E-001, -1.84196524520E+000
+8.62591375000E+005, +1.60435486539E-001, -1.82735346958E+000
+8.68841312500E+005, +1.60831528458E-001, -1.81314700118E+000
+8.75091250000E+005, +1.60036490953E-001, -1.79861023317E+000
+8.81341187500E+005, +1.58677976856E-001, -1.78546039172E+000
+8.87591125000E+005, +1.58237461950E-001, -1.77125050665E+000
+8.93841062500E+005, +1.58233562562E-001, -1.75782596266E+000
+9.00091000000E+005, +1.58314341385E-001, -1.74410402819E+000
+9.06340937500E+005, +1.64433044391E-001, -1.72760335646E+000
+9.12590875000E+005, +1.57231673960E-001, -1.71863681258E+000
+9.18840812500E+005, +1.57673111086E-001, -1.70579786439E+000
+9.25090750000E+005, +1.58068303144E-001, -1.69310644142E+000
+9.31340687500E+005, +1.58064328297E-001, -1.68038984438E+000
+9.37590625000E+005, +1.59121944934E-001, -1.66797020444E+000
+9.43840562500E+005, +1.59284821628E-001, -1.65546303749E+000
+9.50090500000E+005, +1.59765393468E-001, -1.64353436145E+000
+9.56340437500E+005, +1.59154609227E-001, -1.63146327756E+000
+9.62590375000E+005, +1.59996893474E-001, -1.61917563911E+000
+9.68840312500E+005, +1.59769817935E-001, -1.60750825073E+000
+9.75090250000E+005, +1.58264832921E-001, -1.59582124292E+000
+9.81340187500E+005, +1.58568191862E-001, -1.58480395534E+000
+9.87590125000E+005, +1.58416911491E-001, -1.57344997055E+000
+9.93840062500E+005, +1.59368947594E-001, -1.56285672244E+000
+1.00009000000E+006, +1.59732631766E-001, -1.55177688488E+000
+1.00633993750E+006, +1.60221929479E-001, -1.54062046137E+000
