"# Channel 1"
"# Trace 2"
Frequency, Formatted Data, Formatted Data
+1.00000000000E+002, -7.14133136102E-001, +0.00000000000E+000
+6.34993750000E+003, -2.28989319065E+001, +0.00000000000E+000
+1.25998750000E+004, -4.42746798514E+001, +0.00000000000E+000
+1.88498125000E+004, -6.35137729126E+001, +0.00000000000E+000
+2.50997500000E+004, -8.01316357287E+001, +0.00000000000E+000
+3.13496875000E+004, -9.42009529290E+001, +0.00000000000E+000
+3.75996250000E+004, -1.06054134138E+002, +0.00000000000E+000
+4.38495625000E+004, -1.16086613986E+002, +0.00000000000E+000
+5.00995000000E+004, -1.24638460033E+002, +0.00000000000E+000
+5.63494375000E+004, -1.32033216809E+002, +0.00000000000E+000
+6.25993750000E+004, -1.38491367506E+002, +0.00000000000E+000
+6.88493125000E+004, -1.44197637506E+002, +0.00000000000E+000
+7.50992500000E+004, -1.49293631544E+002, +0.00000000000E+000
+8.13491875000E+004, -1.53896206630E+002, +0.00000000000E+000
+8.75991250000E+004, -1.58083303676E+002, +0.00000000000E+000
+9.38490625000E+004, -1.61936756836E+002, +0.00000000000E+000
+1.00099000000E+005, -1.65499468154E+002, +0.00000000000E+000
+1.06348937500E+005, -1.68814469946E+002, +0.00000000000E+000
+1.12598875000E+005, -1.71924292386E+002, +0.00000000000E+000
+1.18848812500E+005, -1.74850369806E+002, +0.00000000000E+000
+1.25098750000E+005, -1.77620538881E+002, +0.00000000000E+000
+1.31348687500E+005, +1.79746724146E+002, +0.00000000000E+000
+1.37598625000E+005, +1.77234955478E+002, +0.00000000000E+000
+1.43848562500E+005, +1.74829842718E+002, +0.00000000000E+000
+1.50098500000E+005, +1.72524581606E+002, +0.00000000000E+000
+1.56348437500E+005, +1.70302281894E+002, +0.00000000000E+000
+1.62598375000E+005, +1.68160464525E+002, +0.00000000000E+000
+1.68848312500E+005, +1.66086171666E+002, +0.00000000000E+000
+1.75098250000E+005, +1.64082058478E+002, +0.00000000000E+000
+1.81348187500E+005, +1.62133573296E+002, +0.00000000000E+000
+1.87598125000E+005, +1.60243039496E+002, +0.00000000000E+000
+1.93848062500E+005, +1.58401481709E+002, +0.00000000000E+000
+2.00098000000E+005, +1.56607180717E+002, +0.00000000000E+000
+2.06347937500E+005, +1.54858931154E+002, +0.00000000000E+000
+2.12597875000E+005, +1.53151241497E+002, +0.00000000000E+000
+2.18847812500E+005, +1.51478621709E+002, +0.00000000000E+000
+2.25097750000E+005, +1.49847496654E+002, +0.00000000000E+000
+2.31347687500E+005, +1.48247468217E+002, +0.00000000000E+000
+2.37597625000E+005, +1.46685170992E+002, +0.00000000000E+000
+2.43847562500E+005, +1.45148311361E+002, +0.00000000000E+000
+2.50097500000E+005, +1.43642695592E+002, +0.00000000000E+000
+2.56347437500E+005, +1.42165214814E+002, +0.00000000000E+000
+2.62597375000E+005, +1.40719367615E+002, +0.00000000000E+000
+2.68847312500E+005, +1.39297824348E+002, +0.00000000000E+000
+2.75097250000E+005, +1.37898920362E+002, +0.00000000000E+000
+2.81347187500E+005, +1.36518757213E+002, +0.00000000000E+000
+2.87597125000E+005, +1.35168150380E+002, +0.00000000000E+000
+2.93847062500E+005, +1.33833403524E+002, +0.00000000000E+000
+3.00097000000E+005, +1.32521053646E+002, +0.00000000000E+000
+3.06346937500E+005, +1.31238105568E+002, +0.00000000000E+000
+3.12596875000E+005, +1.29974887168E+002, +0.00000000000E+000
+3.18846812500E+005, +1.28724169350E+002, +0.00000000000E+000
+3.25096750000E+005, +1.27501320062E+002, +0.00000000000E+000
+3.31346687500E+005, +1.26297621283E+002, +0.00000000000E+000
+3.37596625000E+005, +1.25111370189E+002, +0.00000000000E+000
+3.43846562500E+005, +1.23936177754E+002, +0.00000000000E+000
+3.50096500000E+005, +1.22786221624E+002, +0.00000000000E+000
+3.56346437500E+005, +1.21653812818E+002, +0.00000000000E+000
+3.62596375000E+005, +1.20536842759E+002, +0.00000000000E+000
+3.68846312500E+005, +1.19429714989E+002, +0.00000000000E+000
+3.75096250000E+005, +1.18345901324E+002, +0.00000000000E+000
+3.81346187500E+005, +1.17278806679E+002, +0.00000000000E+000
+3.87596125000E+005, +1.16226296069E+002, +0.00000000000E+000
+3.93846062500E+005, +1.15183709872E+002, +0.00000000000E+000
+4.00096000000E+005, +1.14160570819E+002, +0.00000000000E+000
+4.06345937500E+005, +1.13152266826E+002, +0.00000000000E+000
+4.12595875000E+005, +1.12152390492E+002, +0.00000000000E+000
+4.18845812500E+005, +1.11171795457E+002, +0.00000000000E+000
+4.25095750000E+005, +1.10206896163E+002, +0.00000000000E+000
+4.31345687500E+005, +1.09246709943E+002, +0.00000000000E+000
+4.37595625000E+005, +1.08307798409E+002, +0.00000000000E+000
+4.43845562500E+005, +1.07382247954E+002, +0.00000000000E+000
+4.50095500000E+005, +1.06457102656E+002, +0.00000000000E+000
+4.56345437500E+005, +1.05558656747E+002, +0.00000000000E+000
+4.62595375000E+005, +1.04669982255E+002, +0.00000000000E+000
+4.68845312500E+005, +1.03793434187E+002, +0.00000000000E+000
+4.75095250000E+005, +1.02921246595E+002, +0.00000000000E+000
+4.81345187500E+005, +1.02068829134E+002, +0.00000000000E+000
+4.87595125000E+005, +1.01225639222E+002, +0.00000000000E+000
+4.93845062500E+005, +1.00396648038E+002, +0.00000000000E+000
+5.00095000000E+005, +9.95687122387E+001, +0.00000000000E+000
+5.06344937500E+005, +9.87613679880E+001, +0.00000000000E+000
+5.12594875000E+005, +9.79549832049E+001, +0.00000000000E+000
