"# Channel 1"
"# Trace 4"
Frequency, Formatted Data, Formatted Data
+1.00000000000E+002, +1.00153193667E+000, -1.24837150000E-002
+6.34993750000E+003, +9.31184112516E-001, -3.93327113130E-001
+1.25998750000E+004, +7.18257583706E-001, -7.00298800313E-001
+1.88498125000E+004, +4.41718093783E-001, -8.86483018802E-001
+2.50997500000E+004, +1.67092248159E-001, -9.60526455280E-001
+3.13496875000E+004, -7.03181291377E-002, -9.57332729893E-001
+3.75996250000E+004, -2.61833500035E-001, -9.09876523054E-001
+4.38495625000E+004, -4.11590732277E-001, -8.40658283472E-001
+5.00995000000E+004, -5.27093530702E-001, -7.62969357648E-001
+5.63494375000E+004, -6.16276449228E-001, -6.83646875885E-001
+6.25993750000E+004, -6.85139968489E-001, -6.06344691052E-001
+6.88493125000E+004, -7.38485282477E-001, -5.32658674155E-001
+7.50992500000E+004, -7.79957691790E-001, -4.63222251559E-001
+8.13491875000E+004, -8.12142289973E-001, -3.97931078484E-001
+8.75991250000E+004, -8.37052434061E-001, -3.36776294418E-001
+9.38490625000E+004, -8.56459906758E-001, -2.79326234317E-001
+1.00099000000E+005, -8.70849864363E-001, -2.25225712572E-001
+1.06348937500E+005, -8.81433397812E-001, -1.74297192273E-001
+1.12598875000E+005, -8.88764382175E-001, -1.26105473291E-001
+1.18848812500E+005, -8.93470490746E-001, -8.05202752810E-002
+1.25098750000E+005, -8.95905155427E-001, -3.72278359602E-002
+1.31348687500E+005, -8.96385661646E-001, +3.96249645501E-003
+1.37598625000E+005, -8.95251649647E-001, +4.32376377455E-002
+1.43848562500E+005, -8.92551528905E-001, +8.07598354458E-002
+1.50098500000E+005, -8.88625298386E-001, +1.16601907043E-001
+1.56348437500E+005, -8.83544360266E-001, +1.50990786870E-001
+1.62598375000E+005, -8.77463299940E-001, +1.83943621117E-001
+1.68848312500E+005, -8.70511326075E-001, +2.15652751955E-001
+1.75098250000E+005, -8.62684055277E-001, +2.46034103467E-001
+1.81348187500E+005, -8.54155206430E-001, +2.75332000102E-001
+1.87598125000E+005, -8.44908060425E-001, +3.03468869483E-001
+1.93848062500E+005, -8.35102648770E-001, +3.30615547368E-001
+2.00098000000E+005, -8.24746753670E-001, +3.56777077808E-001
+2.06347937500E+005, -8.13871840317E-001, +3.81957049799E-001
+2.12597875000E+005, -8.02582872189E-001, +4.06271420032E-001
+2.18847812500E+005, -7.90856625614E-001, +4.29782267091E-001
+2.25097750000E+005, -7.78747008031E-001, +4.52377761021E-001
+2.31347687500E+005, -7.66313800363E-001, +4.74256198587E-001
+2.37597625000E+005, -7.53562213157E-001, +4.95277088608E-001
+2.43847562500E+005, -7.40498452799E-001, +5.15651177138E-001
+2.50097500000E+005, -7.27202750437E-001, +5.35304118317E-001
+2.56347437500E+005, -7.13655858253E-001, +5.54262516628E-001
+2.62597375000E+005, -6.99908962270E-001, +5.72473870248E-001
+2.68847312500E+005, -6.85990358291E-001, +5.90090115044E-001
+2.75097250000E+005, -6.71857231892E-001, +6.07092590244E-001
+2.81347187500E+005, -6.57561833375E-001, +6.23593880603E-001
+2.87597125000E+005, -6.43144897543E-001, +6.39380958367E-001
+2.93847062500E+005, -6.28557696071E-001, +6.54689437452E-001
+3.00097000000E+005, -6.13856589981E-001, +6.69412910696E-001
+3.06346937500E+005, -5.99172137704E-001, +6.83511065279E-001
+3.12596875000E+005, -5.84409693103E-001, +6.97092623638E-001
+3.18846812500E+005, -5.69482292472E-001, +7.10215914524E-001
+3.25096750000E+005, -5.54607612690E-001, +7.22744234173E-001
+3.31346687500E+005, -5.39716425116E-001, +7.34798815480E-001
+3.37596625000E+005, -5.24785827148E-001, +7.46379812032E-001
+3.43846562500E+005, -5.09764737918E-001, +7.57576224905E-001
