"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+1.00000000000E+002, +1.39707479124E-002, +0.00000000000E+000
+6.34993750000E+003, +9.37017807909E-002, +0.00000000000E+000
+1.25998750000E+004, +2.73280963762E-002, +0.00000000000E+000
+1.88498125000E+004, -8.34559463385E-002, +0.00000000000E+000
+2.50997500000E+004, -2.20337647141E-001, +0.00000000000E+000
+3.13496875000E+004, -3.55373716113E-001, +0.00000000000E+000
+3.75996250000E+004, -4.74826154155E-001, +0.00000000000E+000
+4.38495625000E+004, -5.74397364108E-001, +0.00000000000E+000
+5.00995000000E+004, -6.55268846108E-001, +0.00000000000E+000
+5.63494375000E+004, -7.20295791134E-001, +0.00000000000E+000
+6.25993750000E+004, -7.72378797671E-001, +0.00000000000E+000
+6.88493125000E+004, -8.14005358708E-001, +0.00000000000E+000
+7.50992500000E+004, -8.46482642083E-001, +0.00000000000E+000
+8.13491875000E+004, -8.72869196018E-001, +0.00000000000E+000
+8.75991250000E+004, -8.93355555123E-001, +0.00000000000E+000
+9.38490625000E+004, -9.06864747559E-001, +0.00000000000E+000
+1.00099000000E+005, -9.19945203673E-001, +0.00000000000E+000
+1.06348937500E+005, -9.29627095452E-001, +0.00000000000E+000
+1.12598875000E+005, -9.37701944535E-001, +0.00000000000E+000
+1.18848812500E+005, -9.43265849779E-001, +0.00000000000E+000
+1.25098750000E+005, -9.47266882316E-001, +0.00000000000E+000
+1.31348687500E+005, -9.50017113992E-001, +0.00000000000E+000
+1.37598625000E+005, -9.50978998663E-001, +0.00000000000E+000
+1.43848562500E+005, -9.51923146860E-001, +0.00000000000E+000
+1.50098500000E+005, -9.51487653000E-001, +0.00000000000E+000
+1.56348437500E+005, -9.50417642172E-001, +0.00000000000E+000
+1.62598375000E+005, -9.48643720438E-001, +0.00000000000E+000
+1.68848312500E+005, -9.45840489131E-001, +0.00000000000E+000
+1.75098250000E+005, -9.43354748410E-001, +0.00000000000E+000
+1.81348187500E+005, -9.39943995944E-001, +0.00000000000E+000
+1.87598125000E+005, -9.36849031607E-001, +0.00000000000E+000
+1.93848062500E+005, -9.32862880657E-001, +0.00000000000E+000
+2.00098000000E+005, -9.28590335683E-001, +0.00000000000E+000
+2.06347937500E+005, -9.24389407415E-001, +0.00000000000E+000
+2.12597875000E+005, -9.19464157394E-001, +0.00000000000E+000
+2.18847812500E+005, -9.14254509540E-001, +0.00000000000E+000
+2.25097750000E+005, -9.09295923577E-001, +0.00000000000E+000
+2.31347687500E+005, -9.03606591803E-001, +0.00000000000E+000
+2.37597625000E+005, -8.98264476707E-001, +0.00000000000E+000
+2.43847562500E+005, -8.92507160126E-001, +0.00000000000E+000
+2.50097500000E+005, -8.86429603631E-001, +0.00000000000E+000
+2.56347437500E+005, -8.80376295979E-001, +0.00000000000E+000
+2.62597375000E+005, -8.74597081063E-001, +0.00000000000E+000
+2.68847312500E+005, -8.68279392042E-001, +0.00000000000E+000
+2.75097250000E+005, -8.62107478254E-001, +0.00000000000E+000
+2.81347187500E+005, -8.55209724745E-001, +0.00000000000E+000
+2.87597125000E+005, -8.48939964890E-001, +0.00000000000E+000
+2.93847062500E+005, -8.42293328701E-001, +0.00000000000E+000
+3.00097000000E+005, -8.35810290570E-001, +0.00000000000E+000
+3.06346937500E+005, -8.29176337233E-001, +0.00000000000E+000
+3.12596875000E+005, -8.22462650432E-001, +0.00000000000E+000
+3.18846812500E+005, -8.15938953392E-001, +0.00000000000E+000
+3.25096750000E+005, -8.09486818752E-001, +0.00000000000E+000
+3.31346687500E+005, -8.02823862707E-001, +0.00000000000E+000
+3.37596625000E+005, -7.96246325516E-001, +0.00000000000E+000
+3.43846562500E+005, -7.89475762005E-001, +0.00000000000E+000
+3.50096500000E+005, -7.83235281740E-001, +0.00000000000E+000
+3.56346437500E+005, -7.76560872733E-001, +0.00000000000E+000
+3.62596375000E+005, -7.70067569588E-001, +0.00000000000E+000
+3.68846312500E+005, -7.63436467378E-001, +0.00000000000E+000
+3.75096250000E+005, -7.56960260799E-001, +0.00000000000E+000
+3.81346187500E+005, -7.50052334662E-001, +0.00000000000E+000
+3.87596125000E+005, -7.43588211419E-001, +0.00000000000E+000
+3.93846062500E+005, -7.37154611822E-001, +0.00000000000E+000
+4.00096000000E+005, -7.30644047692E-001, +0.00000000000E+000
+4.06345937500E+005, -7.24247144281E-001, +0.00000000000E+000
+4.12595875000E+005, -7.17936678695E-001, +0.00000000000E+000
+4.18845812500E+005, -7.11828967688E-001, +0.00000000000E+000
+4.25095750000E+005, -7.05460517018E-001, +0.00000000000E+000
+4.31345687500E+005, -6.99326014460E-001, +0.00000000000E+000
+4.37595625000E+005, -6.93090049251E-001, +0.00000000000E+000
+4.43845562500E+005, -6.86840951085E-001, +0.00000000000E+000
+4.50095500000E+005, -6.80840847228E-001, +0.00000000000E+000
+4.56345437500E+005, -6.74792620680E-001, +0.00000000000E+000
+4.62595375000E+005, -6.68735328482E-001, +0.00000000000E+000
+4.68845312500E+005, -6.62983709788E-001, +0.00000000000E+000
+4.75095250000E+005, -6.57148659408E-001, +0.00000000000E+000
+4.81345187500E+005, -6.51091998135E-001, +0.00000000000E+000
+4.87595125000E+005, -6.45574203345E-001, +0.00000000000E+000
+4.93845062500E+005, -6.39642056266E-001, +0.00000000000E+000
+5.00095000000E+005, -6.34270299221E-001, +0.00000000000E+000
+5.06344937500E+005, -6.28454749275E-001, +0.00000000000E+000
+5.12594875000E+005, -6.23047496856E-001, +0.00000000000E+000
+5.18844812500E+005, -6.17487061778E-001, +0.00000000000E+000
+5.25094750000E+005, -6.11929686754E-001, +0.00000000000E+000
+5.31344687500E+005, -6.06725092436E-001, +0.00000000000E+000
+5.37594625000E+005, -6.01276229977E-001, +0.00000000000E+000
+5.43844562500E+005, -5.95895300525E-001, +0.00000000000E+000
+5.50094500000E+005, -5.90538450788E-001, +0.00000000000E+000
+5.56344437500E+005, -5.85384790553E-001, +0.00000000000E+000
+5.62594375000E+005, -5.80010148131E-001, +0.00000000000E+000
+5.68844312500E+005, -5.75092001354E-001, +0.00000000000E+000
