"# Channel 1"
"# Trace 3"
Frequency, Formatted Data, Formatted Data
+1.00000000000E+002, +7.95703930871E+003, +0.00000000000E+000
+6.34993750000E+003, +2.46784812003E+002, +0.00000000000E+000
+1.25998750000E+004, +1.22904414763E+002, +0.00000000000E+000
+1.88498125000E+004, +8.07753252884E+001, +0.00000000000E+000
+2.50997500000E+004, +5.94454800094E+001, +0.00000000000E+000
+3.13496875000E+004, +4.64649545468E+001, +0.00000000000E+000
+3.75996250000E+004, +3.76575049517E+001, +0.00000000000E+000
+4.38495625000E+004, +3.12280577693E+001, +0.00000000000E+000
+5.00995000000E+004, +2.62916975833E+001, +0.00000000000E+000
+5.63494375000E+004, +2.23365668340E+001, +0.00000000000E+000
+6.25993750000E+004, +1.90747078541E+001, +0.00000000000E+000
+6.88493125000E+004, +1.63176371707E+001, +0.00000000000E+000
+7.50992500000E+004, +1.39412839092E+001, +0.00000000000E+000
+8.13491875000E+004, +1.18590132993E+001, +0.00000000000E+000
+8.75991250000E+004, +1.00158619240E+001, +0.00000000000E+000
+9.38490625000E+004, +8.36413450506E+000, +0.00000000000E+000
+1.00099000000E+005, +6.88901358551E+000, +0.00000000000E+000
+1.06348937500E+005, +5.57828298321E+000, +0.00000000000E+000
+1.12598875000E+005, +4.44155471647E+000, +0.00000000000E+000
+1.18848812500E+005, +3.52305788966E+000, +0.00000000000E+000
+1.25098750000E+005, +2.91497329944E+000, +0.00000000000E+000
+1.31348687500E+005, +2.73388094993E+000, +0.00000000000E+000
+1.37598625000E+005, +2.98883242439E+000, +0.00000000000E+000
+1.43848562500E+005, +3.54792284613E+000, +0.00000000000E+000
+1.50098500000E+005, +4.26076413795E+000, +0.00000000000E+000
+1.56348437500E+005, +5.04563623050E+000, +0.00000000000E+000
+1.62598375000E+005, +5.85812440066E+000, +0.00000000000E+000
+1.68848312500E+005, +6.67963970106E+000, +0.00000000000E+000
+1.75098250000E+005, +7.49814165183E+000, +0.00000000000E+000
+1.81348187500E+005, +8.31091897806E+000, +0.00000000000E+000
+1.87598125000E+005, +9.11384751689E+000, +0.00000000000E+000
+1.93848062500E+005, +9.90686329319E+000, +0.00000000000E+000
+2.00098000000E+005, +1.06894257179E+001, +0.00000000000E+000
+2.06347937500E+005, +1.14610018243E+001, +0.00000000000E+000
+2.12597875000E+005, +1.22225622708E+001, +0.00000000000E+000
+2.18847812500E+005, +1.29762406945E+001, +0.00000000000E+000
+2.25097750000E+005, +1.37189069498E+001, +0.00000000000E+000
+2.31347687500E+005, +1.44543579569E+001, +0.00000000000E+000
+2.37597625000E+005, +1.51797757341E+001, +0.00000000000E+000
+2.43847562500E+005, +1.59002445332E+001, +0.00000000000E+000
+2.50097500000E+005, +1.66129058720E+001, +0.00000000000E+000
+2.56347437500E+005, +1.73191977111E+001, +0.00000000000E+000
+2.62597375000E+005, +1.80173395930E+001, +0.00000000000E+000
+2.68847312500E+005, +1.87103938682E+001, +0.00000000000E+000
+2.75097250000E+005, +1.93993452339E+001, +0.00000000000E+000
+2.81347187500E+005, +2.00857499495E+001, +0.00000000000E+000
+2.87597125000E+005, +2.07645672205E+001, +0.00000000000E+000
+2.93847062500E+005, +2.14422572700E+001, +0.00000000000E+000
+3.00097000000E+005, +2.21156159090E+001, +0.00000000000E+000
+3.06346937500E+005, +2.27807746392E+001, +0.00000000000E+000
+3.12596875000E+005, +2.34426336665E+001, +0.00000000000E+000
+3.18846812500E+005, +2.41050425405E+001, +0.00000000000E+000
+3.25096750000E+005, +2.47597056178E+001, +0.00000000000E+000
+3.31346687500E+005, +2.54110678695E+001, +0.00000000000E+000
+3.37596625000E+005, +2.60600466706E+001, +0.00000000000E+000
+3.43846562500E+005, +2.67100644604E+001, +0.00000000000E+000
+3.50096500000E+005, +2.73533274704E+001, +0.00000000000E+000
+3.56346437500E+005, +2.79937708153E+001, +0.00000000000E+000
+3.62596375000E+005, +2.86326436451E+001, +0.00000000000E+000
+3.68846312500E+005, +2.92730769379E+001, +0.00000000000E+000
+3.75096250000E+005, +2.99072237999E+001, +0.00000000000E+000
+3.81346187500E+005, +3.05386735757E+001, +0.00000000000E+000
+3.87596125000E+005, +3.11687564173E+001, +0.00000000000E+000
+3.93846062500E+005, +3.18001623167E+001, +0.00000000000E+000
+4.00096000000E+005, +3.24270120859E+001, +0.00000000000E+000
+4.06345937500E+005, +3.30520213708E+001, +0.00000000000E+000
+4.12595875000E+005, +3.36791294001E+001, +0.00000000000E+000
+4.18845812500E+005, +3.43014455919E+001, +0.00000000000E+000
+4.25095750000E+005, +3.49210108152E+001, +0.00000000000E+000
+4.31345687500E+005, +3.55449341066E+001, +0.00000000000E+000
+4.37595625000E+005, +3.61623104846E+001, +0.00000000000E+000
+4.43845562500E+005, +3.67781671151E+001, +0.00000000000E+000
+4.50095500000E+005, +3.74012083630E+001, +0.00000000000E+000
+4.56345437500E+005, +3.80135555964E+001, +0.00000000000E+000
+4.62595375000E+005, +3.86265230249E+001, +0.00000000000E+000
+4.68845312500E+005, +3.92384437386E+001, +0.00000000000E+000
+4.75095250000E+005, +3.98547026531E+001, +0.00000000000E+000
+4.81345187500E+005, +4.04642872634E+001, +0.00000000000E+000
+4.87595125000E+005, +4.10746252991E+001, +0.00000000000E+000
+4.93845062500E+005, +4.16819353435E+001, +0.00000000000E+000
+5.00095000000E+005, +4.22959122333E+001, +0.00000000000E+000
+5.06344937500E+005, +4.29018995187E+001, +0.00000000000E+000
+5.12594875000E+005, +4.35145920579E+001, +0.00000000000E+000
+5.18844812500E+005, +4.41192500779E+001, +0.00000000000E+000
+5.25094750000E+005, +4.47270227041E+001, +0.00000000000E+000
+5.31344687500E+005, +4.53367239381E+001, +0.00000000000E+000
