"# Channel 1"
"# Trace 4"
Frequency, Formatted Data, Formatted Data
+1.00000000000E+001, +1.00170206887E+000, -6.68249515413E-003
+6.25999375000E+003, +9.33875506467E-001, -3.88539775882E-001
+1.25099875000E+004, +7.23067792732E-001, -7.02465753695E-001
+1.87599812500E+004, +4.38058423186E-001, -9.04536578966E-001
+2.50099750000E+004, +1.35958429674E-001, -9.92424651775E-001
+3.12599687500E+004, -1.43366167879E-001, -9.88117987003E-001
+3.75099625000E+004, -3.80429348435E-001, -9.19995519185E-001
+4.37599562500E+004, -5.70397961094E-001, -8.12934360745E-001
+5.00099500000E+004, -7.15905217805E-001, -6.85435431282E-001
+5.62599437500E+004, -8.23099315884E-001, -5.49357318083E-001
+6.25099375000E+004, -8.98264286261E-001, -4.12494189113E-001
+6.87599312500E+004, -9.47313257669E-001, -2.79389047838E-001
+7.50099250000E+004, -9.75363215786E-001, -1.52690054354E-001
+8.12599187500E+004, -9.86409131745E-001, -3.36571929323E-002
+8.75099125000E+004, -9.83975521106E-001, +7.70626257833E-002
+9.37599062500E+004, -9.70916065075E-001, +1.79766478048E-001
+1.00009900000E+005, -9.48942914175E-001, +2.73704266906E-001
+1.06259893750E+005, -9.20188391150E-001, +3.59602166362E-001
+1.12509887500E+005, -8.86047724160E-001, +4.37653843640E-001
+1.18759881250E+005, -8.47885552446E-001, +5.08484375883E-001
+1.25009875000E+005, -8.06596299927E-001, +5.72440907502E-001
+1.31259868750E+005, -7.63075560430E-001, +6.29963044305E-001
+1.37509862500E+005, -7.17937579981E-001, +6.81654402863E-001
+1.43759856250E+005, -6.71844747178E-001, +7.27669544996E-001
+1.50009850000E+005, -6.25231705536E-001, +7.68677896780E-001
+1.56259843750E+005, -5.78413885594E-001, +8.04964062711E-001
+1.62509837500E+005, -5.31856356368E-001, +8.36958154981E-001
+1.68759831250E+005, -4.85599572389E-001, +8.65092859158E-001
+1.75009825000E+005, -4.40173988494E-001, +8.89484186042E-001
+1.81259818750E+005, -3.95433780928E-001, +9.10666945889E-001
+1.87509812500E+005, -3.51754108437E-001, +9.28766446197E-001
+1.93759806250E+005, -3.09018316875E-001, +9.44177620453E-001
+2.00009800000E+005, -2.67415200607E-001, +9.57134150232E-001
+2.06259793750E+005, -2.27022349678E-001, +9.67833313040E-001
+2.12509787500E+005, -1.87810962737E-001, +9.76511573127E-001
+2.18759781250E+005, -1.49661190842E-001, +9.83346720538E-001
+2.25009775000E+005, -1.12944075712E-001, +9.88532569029E-001
+2.31259768750E+005, -7.72692148291E-002, +9.92200538056E-001
+2.37509762500E+005, -4.30222843761E-002, +9.94578014759E-001
+2.43759756250E+005, -9.75848898648E-003, +9.95648755843E-001
+2.50009750000E+005, +2.22950855698E-002, +9.95668511460E-001
+2.56259743750E+005, +5.31625210434E-002, +9.94698064495E-001
+2.62509737500E+005, +8.27520163718E-002, +9.92923241379E-001
+2.68759731250E+005, +1.11416851907E-001, +9.90339694871E-001
+2.75009725000E+005, +1.38988327754E-001, +9.87022312803E-001
+2.81259718750E+005, +1.65736958778E-001, +9.83006793668E-001
+2.87509712500E+005, +1.91293414774E-001, +9.78513451851E-001
+2.93759706250E+005, +2.16038034394E-001, +9.73422410443E-001
+3.00009700000E+005, +2.39853182042E-001, +9.67901296180E-001
+3.06259693750E+005, +2.62624688480E-001, +9.62138796637E-001
+3.12509687500E+005, +2.84553482496E-001, +9.56057803787E-001
+3.18759681250E+005, +3.05763612822E-001, +9.49520418984E-001
+3.25009675000E+005, +3.26070088927E-001, +9.42901391675E-001
+3.31259668750E+005, +3.45617502032E-001, +9.36055524603E-001
+3.37509662500E+005, +3.64424222808E-001, +9.29039210022E-001
+3.43759656250E+005, +3.82678007371E-001, +9.21730955203E-001
+3.50009650000E+005, +4.00116334506E-001, +9.14405876507E-001
+3.56259643750E+005, +4.16926758341E-001, +9.07011199368E-001
+3.62509637500E+005, +4.33142899139E-001, +8.99507994782E-001
+3.68759631250E+005, +4.48850904552E-001, +8.91759805047E-001
+3.75009625000E+005, +4.63911194274E-001, +8.84165621132E-001
+3.81259618750E+005, +4.78447980456E-001, +8.76577274925E-001
+3.87509612500E+005, +4.92462263240E-001, +8.68920517574E-001
+3.93759606250E+005, +5.06003848936E-001, +8.61099129727E-001
