"# Channel 1"
"# Trace 4"
Frequency, Formatted Data, Formatted Data
+1.00000000000E+001, -3.78079274676E+003, -1.39206445860E+004
+6.25999375000E+003, -7.26844353809E+000, -2.50424638492E+002
+1.25099875000E+004, -1.04565178311E+000, -1.23934210134E+002
+1.87599812500E+004, +1.94098901599E-001, -8.10920868694E+001
+2.50099750000E+004, +7.45677213265E-001, -5.93260991444E+001
+3.12599687500E+004, +1.05814897629E+000, -4.60016095083E+001
+3.75099625000E+004, +1.25792140391E+000, -3.68949882505E+001
+4.37599562500E+004, +1.39211471239E+000, -3.01935272455E+001
+5.00099500000E+004, +1.48674982272E+000, -2.50006898678E+001
+5.62599437500E+004, +1.55573115132E+000, -2.07991850233E+001
+6.25099375000E+004, +1.60832553618E+000, -1.72952440019E+001
+6.87599312500E+004, +1.64742036976E+000, -1.42963091657E+001
+7.50099250000E+004, +1.67625988415E+000, -1.16779687013E+001
+8.12599187500E+004, +1.70028385531E+000, -9.34733041571E+000
+8.75099125000E+004, +1.71760602236E+000, -7.24499649781E+000
+9.37599062500E+004, +1.72257502176E+000, -5.32008173906E+000
+1.00009900000E+005, +1.73428988536E+000, -3.54523924999E+000
+1.06259893750E+005, +1.74232706678E+000, -1.89190682884E+000
+1.12509887500E+005, +1.75141594212E+000, -3.38864665863E-001
+1.18759881250E+005, +1.75731481097E+000, +1.12909772928E+000
+1.25009875000E+005, +1.76211268453E+000, +2.52517433278E+000
+1.31259868750E+005, +1.76704167000E+000, +3.85914898256E+000
+1.37509862500E+005, +1.76949596552E+000, +5.14190360508E+000
+1.43759856250E+005, +1.77389500201E+000, +6.37684285427E+000
+1.50009850000E+005, +1.77658490800E+000, +7.57190471089E+000
+1.56259843750E+005, +1.78014822674E+000, +8.73145531487E+000
+1.62509837500E+005, +1.78227891106E+000, +9.85909606663E+000
+1.68759831250E+005, +1.78350178719E+000, +1.09617658839E+001
+1.75009825000E+005, +1.78713367480E+000, +1.20356884520E+001
+1.81259818750E+005, +1.78901605579E+000, +1.30895193310E+001
+1.87509812500E+005, +1.79304621868E+000, +1.41213766351E+001
+1.93759806250E+005, +1.79555309672E+000, +1.51363526440E+001
+2.00009800000E+005, +1.79882442918E+000, +1.61350022247E+001
+2.06259793750E+005, +1.80189792149E+000, +1.71174243867E+001
+2.12509787500E+005, +1.80455698266E+000, +1.80871836197E+001
+2.18759781250E+005, +1.80642681854E+000, +1.90468663236E+001
+2.25009775000E+005, +1.81012598510E+000, +1.99912445576E+001
+2.31259768750E+005, +1.81246761010E+000, +2.09290134154E+001
+2.37509762500E+005, +1.81532405299E+000, +2.18528301296E+001
+2.43759756250E+005, +1.81859950276E+000, +2.27719898804E+001
+2.50009750000E+005, +1.82180408513E+000, +2.36829749448E+001
+2.56259743750E+005, +1.82474836275E+000, +2.45856961897E+001
+2.62509737500E+005, +1.82816161773E+000, +2.54772832227E+001
+2.68759731250E+005, +1.83077107691E+000, +2.63660125495E+001
+2.75009725000E+005, +1.83459605781E+000, +2.72487223169E+001
+2.81259718750E+005, +1.83685311976E+000, +2.81306235879E+001
+2.87509712500E+005, +1.84075867391E+000, +2.90027652151E+001
+2.93759706250E+005, +1.84445248956E+000, +2.98745000479E+001
+3.00009700000E+005, +1.84844606677E+000, +3.07422716604E+001
+3.06259693750E+005, +1.85137644765E+000, +3.16002194239E+001
+3.12509687500E+005, +1.85483601014E+000, +3.24541241983E+001
+3.18759681250E+005, +1.86038280217E+000, +3.33098734188E+001
+3.25009675000E+005, +1.86414560626E+000, +3.41557490849E+001
+3.31259668750E+005, +1.86815776613E+000, +3.49987181836E+001
+3.37509662500E+005, +1.87269243054E+000, +3.58387292660E+001
+3.43759656250E+005, +1.87685052201E+000, +3.66815885404E+001
+3.50009650000E+005, +1.88241060218E+000, +3.75154174120E+001
+3.56259643750E+005, +1.88623482895E+000, +3.83470812715E+001
+3.62509637500E+005, +1.89062810977E+000, +3.91767080713E+001
+3.68759631250E+005, +1.89650843004E+000, +4.00107819662E+001
+3.75009625000E+005, +1.90046987049E+000, +4.08356162544E+001
