"# Channel 1"
"# Trace 2"
Frequency, Formatted Data, Formatted Data
+1.00000000000E+001, -3.83314023486E-001, +0.00000000000E+000
+6.25999375000E+003, -2.25679906813E+001, +0.00000000000E+000
+1.25099875000E+004, -4.40128682447E+001, +0.00000000000E+000
+1.87599812500E+004, -6.36847444484E+001, +0.00000000000E+000
+2.50099750000E+004, -8.12345446312E+001, +0.00000000000E+000
+3.12599687500E+004, -9.66636058952E+001, +0.00000000000E+000
+3.75099625000E+004, -1.10162535890E+002, +0.00000000000E+000
+4.37599562500E+004, -1.21997899875E+002, +0.00000000000E+000
+5.00099500000E+004, -1.32422049623E+002, +0.00000000000E+000
+5.62599437500E+004, -1.41701238836E+002, +0.00000000000E+000
+6.25099375000E+004, -1.50024315614E+002, +0.00000000000E+000
+6.87599312500E+004, -1.57557451722E+002, +0.00000000000E+000
+7.50099250000E+004, -1.64428250570E+002, +0.00000000000E+000
+8.12599187500E+004, -1.70749332002E+002, +0.00000000000E+000
+8.75099125000E+004, -1.76599159988E+002, +0.00000000000E+000
+9.37599062500E+004, +1.77934349650E+002, +0.00000000000E+000
+1.00009900000E+005, +1.72832448592E+002, +0.00000000000E+000
+1.06259893750E+005, +1.68036285949E+002, +0.00000000000E+000
+1.12509887500E+005, +1.63512272507E+002, +0.00000000000E+000
+1.18759881250E+005, +1.59228597000E+002, +0.00000000000E+000
+1.25009875000E+005, +1.55160828166E+002, +0.00000000000E+000
+1.31259868750E+005, +1.51291306571E+002, +0.00000000000E+000
+1.37509862500E+005, +1.47595770638E+002, +0.00000000000E+000
+1.43759856250E+005, +1.44070388226E+002, +0.00000000000E+000
+1.50009850000E+005, +1.40694467528E+002, +0.00000000000E+000
+1.56259843750E+005, +1.37458352423E+002, +0.00000000000E+000
+1.62509837500E+005, +1.34356061376E+002, +0.00000000000E+000
+1.68759831250E+005, +1.31367398271E+002, +0.00000000000E+000
+1.75009825000E+005, +1.28505668560E+002, +0.00000000000E+000
+1.81259818750E+005, +1.25744270099E+002, +0.00000000000E+000
+1.87509812500E+005, +1.23092263595E+002, +0.00000000000E+000
+1.93759806250E+005, +1.20531456306E+002, +0.00000000000E+000
+2.00009800000E+005, +1.18061770988E+002, +0.00000000000E+000
+2.06259793750E+005, +1.15682087375E+002, +0.00000000000E+000
+2.12509787500E+005, +1.13383095677E+002, +0.00000000000E+000
+2.18759781250E+005, +1.11153593205E+002, +0.00000000000E+000
+2.25009775000E+005, +1.09011215086E+002, +0.00000000000E+000
+2.31259768750E+005, +1.06928123981E+002, +0.00000000000E+000
+2.37509762500E+005, +1.04925176686E+002, +0.00000000000E+000
+2.43759756250E+005, +1.02976173987E+002, +0.00000000000E+000
+2.50009750000E+005, +1.01089675780E+002, +0.00000000000E+000
+2.56259743750E+005, +9.92634653777E+001, +0.00000000000E+000
+2.62509737500E+005, +9.75037549481E+001, +0.00000000000E+000
+2.68759731250E+005, +9.57892930872E+001, +0.00000000000E+000
+2.75009725000E+005, +9.41276172570E+001, +0.00000000000E+000
+2.81259718750E+005, +9.25050267233E+001, +0.00000000000E+000
+2.87509712500E+005, +9.09404691868E+001, +0.00000000000E+000
+2.93759706250E+005, +8.94126194290E+001, +0.00000000000E+000
+3.00009700000E+005, +8.79291183973E+001, +0.00000000000E+000
+3.06259693750E+005, +8.64983409824E+001, +0.00000000000E+000
+3.12509687500E+005, +8.51082975295E+001, +0.00000000000E+000
+3.18759681250E+005, +8.37476071497E+001, +0.00000000000E+000
+3.25009675000E+005, +8.24349129441E+001, +0.00000000000E+000
+3.31259668750E+005, +8.11584695542E+001, +0.00000000000E+000
+3.37509662500E+005, +7.99170469728E+001, +0.00000000000E+000
+3.43759656250E+005, +7.86990998066E+001, +0.00000000000E+000
+3.50009650000E+005, +7.75232297251E+001, +0.00000000000E+000
+3.56259643750E+005, +7.63787147190E+001, +0.00000000000E+000
+3.62509637500E+005, +7.52632549609E+001, +0.00000000000E+000
+3.68759631250E+005, +7.41656103332E+001, +0.00000000000E+000
+3.75009625000E+005, +7.31081816028E+001, +0.00000000000E+000
+3.81259618750E+005, +7.20764385021E+001, +0.00000000000E+000
+3.87509612500E+005, +7.10705090052E+001, +0.00000000000E+000
+3.93759606250E+005, +7.00830541271E+001, +0.00000000000E+000
+4.00009600000E+005, +6.91259682164E+001, +0.00000000000E+000
+4.06259593750E+005, +6.81935094998E+001, +0.00000000000E+000
+4.12509587500E+005, +6.72744328664E+001, +0.00000000000E+000
+4.18759581250E+005, +6.63864299003E+001, +0.00000000000E+000
+4.25009575000E+005, +6.55183766364E+001, +0.00000000000E+000
+4.31259568750E+005, +6.46621957786E+001, +0.00000000000E+000
+4.37509562500E+005, +6.38345008441E+001, +0.00000000000E+000
+4.43759556250E+005, +6.30264625249E+001, +0.00000000000E+000
+4.50009550000E+005, +6.22249506025E+001, +0.00000000000E+000
+4.56259543750E+005, +6.14538414266E+001, +0.00000000000E+000
+4.62509537500E+005, +6.06988005622E+001, +0.00000000000E+000
+4.68759531250E+005, +5.99601614849E+001, +0.00000000000E+000
+4.75009525000E+005, +5.92298771988E+001, +0.00000000000E+000
+4.81259518750E+005, +5.85232654558E+001, +0.00000000000E+000
+4.87509512500E+005, +5.78290794585E+001, +0.00000000000E+000
+4.93759506250E+005, +5.71534042762E+001, +0.00000000000E+000
+5.00009500000E+005, +5.64830800252E+001, +0.00000000000E+000
+5.06259493750E+005, +5.58350994974E+001, +0.00000000000E+000
+5.12509487500E+005, +5.51915101948E+001, +0.00000000000E+000
+5.18759481250E+005, +5.45701826320E+001, +0.00000000000E+000
+5.25009475000E+005, +5.39564060557E+001, +0.00000000000E+000
+5.31259468750E+005, +5.33522537250E+001, +0.00000000000E+000
+5.37509462500E+005, +5.27666431334E+001, +0.00000000000E+000
+5.43759456250E+005, +5.21923646541E+001, +0.00000000000E+000
+5.50009450000E+005, +5.16293301159E+001, +0.00000000000E+000
+5.56259443750E+005, +5.10783980475E+001, +0.00000000000E+000
+5.62509437500E+005, +5.05350166131E+001, +0.00000000000E+000
+5.68759431250E+005, +5.00037524405E+001, +0.00000000000E+000
+5.75009425000E+005, +4.94739637545E+001, +0.00000000000E+000
+5.81259418750E+005, +4.89546210253E+001, +0.00000000000E+000
+5.87509412500E+005, +4.84529186685E+001, +0.00000000000E+000
+5.93759406250E+005, +4.79601464325E+001, +0.00000000000E+000
+6.00009400000E+005, +4.74764625605E+001, +0.00000000000E+000
+6.06259393750E+005, +4.70009085957E+001, +0.00000000000E+000
+6.12509387500E+005, +4.65274376003E+001, +0.00000000000E+000
+6.18759381250E+005, +4.60681492991E+001, +0.00000000000E+000
+6.25009375000E+005, +4.56154314937E+001, +0.00000000000E+000
+6.31259368750E+005, +4.51739566389E+001, +0.00000000000E+000
+6.37509362500E+005, +4.47384602983E+001, +0.00000000000E+000
+6.43759356250E+005, +4.43035517478E+001, +0.00000000000E+000
+6.50009350000E+005, +4.38830393027E+001, +0.00000000000E+000
+6.56259343750E+005, +4.34703503159E+001, +0.00000000000E+000
+6.62509337500E+005, +4.30634650627E+001, +0.00000000000E+000
+6.68759331250E+005, +4.26632861471E+001, +0.00000000000E+000
+6.75009325000E+005, +4.22705252566E+001, +0.00000000000E+000
+6.81259318750E+005, +4.18771740916E+001, +0.00000000000E+000
+6.87509312500E+005, +4.14955625819E+001, +0.00000000000E+000
+6.93759306250E+005, +4.11219230978E+001, +0.00000000000E+000
+7.00009300000E+005, +4.07528213712E+001, +0.00000000000E+000
+7.06259293750E+005, +4.03908807960E+001, +0.00000000000E+000
+7.12509287500E+005, +4.00254291860E+001, +0.00000000000E+000
+7.18759281250E+005, +3.96744216544E+001, +0.00000000000E+000
+7.25009275000E+005, +3.93278836234E+001, +0.00000000000E+000
+7.31259268750E+005, +3.89872919377E+001, +0.00000000000E+000
+7.37509262500E+005, +3.87068825492E+001, +0.00000000000E+000
+7.43759256250E+005, +3.83735943455E+001, +0.00000000000E+000
+7.50009250000E+005, +3.80387154985E+001, +0.00000000000E+000
+7.56259243750E+005, +3.77145803808E+001, +0.00000000000E+000
+7.62509237500E+005, +3.73949486602E+001, +0.00000000000E+000
+7.68759231250E+005, +3.70796061598E+001, +0.00000000000E+000
+7.75009225000E+005, +3.67626462132E+001, +0.00000000000E+000
+7.81259218750E+005, +3.64566478326E+001, +0.00000000000E+000
+7.87509212500E+005, +3.61607454420E+001, +0.00000000000E+000
+7.93759206250E+005, +3.58642375728E+001, +0.00000000000E+000
+8.00009200000E+005, +3.55716853164E+001, +0.00000000000E+000
+8.06259193750E+005, +3.52830087847E+001, +0.00000000000E+000
+8.12509187500E+005, +3.49991634835E+001, +0.00000000000E+000
+8.18759181250E+005, +3.47136479492E+001, +0.00000000000E+000
+8.25009175000E+005, +3.44370082819E+001, +0.00000000000E+000
+8.31259168750E+005, +3.41657046950E+001, +0.00000000000E+000
+8.37509162500E+005, +3.38958945561E+001, +0.00000000000E+000
+8.43759156250E+005, +3.36308311742E+001, +0.00000000000E+000
+8.50009150000E+005, +3.33673653069E+001, +0.00000000000E+000
+8.56259143750E+005, +3.31084594879E+001, +0.00000000000E+000
+8.62509137500E+005, +3.28534662555E+001, +0.00000000000E+000
+8.68759131250E+005, +3.26016703617E+001, +0.00000000000E+000
+8.75009125000E+005, +3.23547256045E+001, +0.00000000000E+000
+8.81259118750E+005, +3.21036618747E+001, +0.00000000000E+000
+8.87509112500E+005, +3.18612811152E+001, +0.00000000000E+000
+8.93759106250E+005, +3.16213128570E+001, +0.00000000000E+000
+9.00009100000E+005, +3.13851702688E+001, +0.00000000000E+000
+9.06259093750E+005, +3.11508133385E+001, +0.00000000000E+000
+9.12509087500E+005, +3.09197212612E+001, +0.00000000000E+000
+9.18759081250E+005, +3.06927407714E+001, +0.00000000000E+000
+9.25009075000E+005, +3.04690266229E+001, +0.00000000000E+000
+9.31259068750E+005, +3.02468688680E+001, +0.00000000000E+000
+9.37509062500E+005, +3.00296594681E+001, +0.00000000000E+000
