"# Channel 1"
"# Trace 4"
Frequency, Formatted Data, Formatted Data
+1.00000000000E+001, -3.80015412357E+003, -1.39091878682E+004
+6.25999375000E+003, -7.39486148618E+000, -2.50379794783E+002
+1.25099875000E+004, -1.42559006195E+000, -1.23700219935E+002
+1.87599812500E+004, -4.48934262514E-001, -8.05069345911E+001
+2.50099750000E+004, -1.04146121237E-001, -5.83003155207E+001
+3.12599687500E+004, +5.90574417659E-002, -4.44985804364E+001
+3.75099625000E+004, +1.53206659682E-001, -3.49045704616E+001
+4.37599562500E+004, +2.12222612869E-001, -2.77162685368E+001
+5.00099500000E+004, +2.51010618792E-001, -2.20406709530E+001
+5.62599437500E+004, +2.78760186719E-001, -1.73618451399E+001
+6.25099375000E+004, +2.98471687929E-001, -1.33856437384E+001
+6.87599312500E+004, +3.12207912234E-001, -9.91918896377E+000
+7.50099250000E+004, +3.19492070987E-001, -6.83631650236E+000
+8.12599187500E+004, +3.26097889530E-001, -4.04498552972E+000
+8.75099125000E+004, +3.28290563834E-001, -1.48426827074E+000
+9.37599062500E+004, +3.20002082469E-001, +9.01370722668E-001
+1.00009900000E+005, +3.20278538821E-001, +3.13139121571E+000
+1.06259893750E+005, +3.18291571867E-001, +5.23899465380E+000
+1.12509887500E+005, +3.17569262208E-001, +7.24390136907E+000
+1.18759881250E+005, +3.15299771325E-001, +9.16346714975E+000
+1.25009875000E+005, +3.12571414965E-001, +1.10107220688E+001
+1.31259868750E+005, +3.09567393123E-001, +1.27948999462E+001
+1.37509862500E+005, +3.05528319259E-001, +1.45278437879E+001
+1.43759856250E+005, +3.03323911857E-001, +1.62114966228E+001
+1.50009850000E+005, +2.99910748496E-001, +1.78555322219E+001
+1.56259843750E+005, +2.97227606958E-001, +1.94642625322E+001
+1.62509837500E+005, +2.94656755457E-001, +2.10400070752E+001
+1.68759831250E+005, +2.90533661623E-001, +2.25923596137E+001
+1.75009825000E+005, +2.88285805823E-001, +2.41134379279E+001
+1.81259818750E+005, +2.84640821526E-001, +2.56163271485E+001
+1.87509812500E+005, +2.83385906103E-001, +2.70950093727E+001
+1.93759806250E+005, +2.81186903033E-001, +2.85584671582E+001
+2.00009800000E+005, +2.78432793108E-001, +3.00056752136E+001
+2.06259793750E+005, +2.76261135846E-001, +3.14359938941E+001
+2.12509787500E+005, +2.73239061869E-001, +3.28537353731E+001
+2.18759781250E+005, +2.71266725312E-001, +3.42647785877E+001
+2.25009775000E+005, +2.68205200716E-001, +3.56565905464E+001
+2.31259768750E+005, +2.66564172689E-001, +3.70459302744E+001
+2.37509762500E+005, +2.62648857881E-001, +3.84175794014E+001
+2.43759756250E+005, +2.61435468348E-001, +3.97881064419E+001
+2.50009750000E+005, +2.59149938946E-001, +4.11504851853E+001
+2.56259743750E+005, +2.57338547504E-001, +4.25049546255E+001
+2.62509737500E+005, +2.54600854437E-001, +4.38452820815E+001
+2.68759731250E+005, +2.50192821569E-001, +4.51863307904E+001
+2.75009725000E+005, +2.49502453082E-001, +4.65211362988E+001
+2.81259718750E+005, +2.48545769415E-001, +4.78597668274E+001
+2.87509712500E+005, +2.46793236818E-001, +4.91853395763E+001
+2.93759706250E+005, +2.47529639969E-001, +5.05146190852E+001
+3.00009700000E+005, +2.48915743438E-001, +5.18400302573E+001
+3.06259693750E+005, +2.46896126533E-001, +5.31524988379E+001
+3.12509687500E+005, +2.43089414602E-001, +5.44614121953E+001
+3.18759681250E+005, +2.45791529919E-001, +5.57765933591E+001
+3.25009675000E+005, +2.44000573028E-001, +5.70788509824E+001
+3.31259668750E+005, +2.40701186927E-001, +5.83782347070E+001
+3.37509662500E+005, +2.37813581596E-001, +5.96748005856E+001
+3.43759656250E+005, +2.38902839074E-001, +6.09798313080E+001
+3.50009650000E+005, +2.38062431587E-001, +6.22722906816E+001
+3.56259643750E+005, +2.34523941793E-001, +6.35624229107E+001
+3.62509637500E+005, +2.31602563975E-001, +6.48517188236E+001
+3.68759631250E+005, +2.35854455220E-001, +6.61525712177E+001
+3.75009625000E+005, +2.32031491010E-001, +6.74373644772E+001
+3.81259618750E+005, +2.26067193606E-001, +6.87221616582E+001
+3.87509612500E+005, +2.21636133836E-001, +7.00057952771E+001
+3.93759606250E+005, +2.24537970737E-001, +7.12968872856E+001
+4.00009600000E+005, +2.19968547331E-001, +7.25789472341E+001
+4.06259593750E+005, +2.15458629794E-001, +7.38582712247E+001
+4.12509587500E+005, +2.19418924357E-001, +7.51496578146E+001
+4.18759581250E+005, +2.16245208184E-001, +7.64273324406E+001
+4.25009575000E+005, +2.09192807616E-001, +7.77059161159E+001
+4.31259568750E+005, +2.13148771730E-001, +7.89968062994E+001
+4.37509562500E+005, +2.08943707442E-001, +8.02740848005E+001
+4.43759556250E+005, +2.01374836420E-001, +8.15499449122E+001
+4.50009550000E+005, +2.09400608377E-001, +8.28447700640E+001
+4.56259543750E+005, +2.00905404365E-001, +8.41191840998E+001
+4.62509537500E+005, +1.95982327911E-001, +8.53953011699E+001
+4.68759531250E+005, +1.90159797472E-001, +8.66718005648E+001
+4.75009525000E+005, +1.95242959517E-001, +8.79621817544E+001
+4.81259518750E+005, +1.87412788183E-001, +8.92386209745E+001
+4.87509512500E+005, +1.84965796256E-001, +9.05202538603E+001
+4.93759506250E+005, +1.75544921674E-001, +9.17950206848E+001
+5.00009500000E+005, +1.80886305826E-001, +9.30872154802E+001
+5.06259493750E+005, +1.73552592173E-001, +9.43634132677E+001
+5.12509487500E+005, +1.80738775781E-001, +9.56581713925E+001
+5.18759481250E+005, +1.72617886045E-001, +9.69348615871E+001
+5.25009475000E+005, +1.67443871576E-001, +9.82226565498E+001
+5.31259468750E+005, +1.73278179994E-001, +9.95169712881E+001
+5.37509462500E+005, +1.65287914898E-001, +1.00797792395E+002
+5.43759456250E+005, +1.53389879219E-001, +1.02079727974E+002
+5.50009450000E+005, +1.45822253710E-001, +1.03362276523E+002
+5.56259443750E+005, +1.35652607971E-001, +1.04642734171E+002
+5.62509437500E+005, +1.26716301667E-001, +1.05931131991E+002
+5.68759431250E+005, +1.20030687027E-001, +1.07216069139E+002
+5.75009425000E+005, +1.32273243424E-001, +1.08523097912E+002
+5.81259418750E+005, +1.39575003965E-001, +1.09830077632E+002
+5.87509412500E+005, +1.28068389525E-001, +1.11117652814E+002
+5.93759406250E+005, +1.17950567943E-001, +1.12406930923E+002
+6.00009400000E+005, +1.07180095467E-001, +1.13696904732E+002
+6.06259393750E+005, +9.76290616542E-002, +1.14989564316E+002
+6.12509387500E+005, +1.07766166361E-001, +1.16301280145E+002
+6.18759381250E+005, +9.97924014676E-002, +1.17598048748E+002
+6.25009375000E+005, +9.18115871337E-002, +1.18900415766E+002
+6.31259368750E+005, +7.93011789214E-002, +1.20194228262E+002
+6.37509362500E+005, +6.47818468854E-002, +1.21494215453E+002
+6.43759356250E+005, +7.82456760919E-002, +1.22816603740E+002
+6.50009350000E+005, +6.92548824721E-002, +1.24118899774E+002
+6.56259343750E+005, +5.23202226449E-002, +1.25420248511E+002
+6.62509337500E+005, +4.60526156284E-002, +1.26726511242E+002
+6.68759331250E+005, +2.93399571752E-002, +1.28034386238E+002
+6.75009325000E+005, +1.69715587499E-002, +1.29340958927E+002
+6.81259318750E+005, +3.48586129612E-002, +1.30672914397E+002
+6.87509312500E+005, +2.25649461649E-002, +1.31988167353E+002
+6.93759306250E+005, +8.50695662851E-003, +1.33298541664E+002
+7.00009300000E+005, -5.20321841417E-003, +1.34615560998E+002
+7.06259293750E+005, -1.80148566403E-002, +1.35929397905E+002
+7.12509287500E+005, +1.91428125685E-003, +1.37279076749E+002
+7.18759281250E+005, -1.12606417080E-002, +1.38597849728E+002
+7.25009275000E+005, -2.79823912183E-002, +1.39921981664E+002
+7.31259268750E+005, -4.03198008113E-002, +1.41245412601E+002
+7.37509262500E+005, -3.56512287544E-001, +1.42351009495E+002
+7.43759256250E+005, -3.65410471626E-001, +1.43686214344E+002
+7.50009250000E+005, -3.46860822792E-001, +1.45050584403E+002
+7.56259243750E+005, -3.54691091354E-001, +1.46393282387E+002
+7.62509237500E+005, -3.62437951880E-001, +1.47739283579E+002
+7.68759231250E+005, -3.70904687836E-001, +1.49089139737E+002
+7.75009225000E+005, -3.47839592326E-001, +1.50468566340E+002
+7.81259218750E+005, -3.54830649750E-001, +1.51822123608E+002
+7.87509212500E+005, -3.81452298093E-001, +1.53151976041E+002
+7.93759206250E+005, -3.86236693255E-001, +1.54505916895E+002
+8.00009200000E+005, -3.98320761793E-001, +1.55863150779E+002
+8.06259193750E+005, -4.13240035217E-001, +1.57223732782E+002
+8.12509187500E+005, -4.23172557377E-001, +1.58582749626E+002
+8.18759181250E+005, -3.83394510423E-001, +1.59971709197E+002
+8.25009175000E+005, -3.96909891975E-001, +1.61338536311E+002
+8.31259168750E+005, -4.11708147747E-001, +1.62699833253E+002
+8.37509162500E+005, -4.21437124042E-001, +1.64074622614E+002
+8.43759156250E+005, -4.28134800131E-001, +1.65446084483E+002
+8.50009150000E+005, -4.38154415972E-001, +1.66830229188E+002
+8.56259143750E+005, -4.49936353390E-001, +1.68211253751E+002
