"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+1.00000000000E+001, +1.58760456457E-002, +0.00000000000E+000
+6.25999375000E+003, +9.84504122675E-002, +0.00000000000E+000
+1.25099875000E+004, +6.95514372660E-002, +0.00000000000E+000
+1.87599812500E+004, +4.34158702334E-002, +0.00000000000E+000
+2.50099750000E+004, +1.53350096402E-002, +0.00000000000E+000
+3.12599687500E+004, -1.14498250070E-002, +0.00000000000E+000
+3.75099625000E+004, -3.57885290416E-002, +0.00000000000E+000
+4.37599562500E+004, -5.64025295604E-002, +0.00000000000E+000
+5.00099500000E+004, -7.30210439843E-002, +0.00000000000E+000
+5.62599437500E+004, -8.64304944293E-002, +0.00000000000E+000
+6.25099375000E+004, -9.67653380533E-002, +0.00000000000E+000
+6.87599312500E+004, -1.04365854256E-001, +0.00000000000E+000
+7.50099250000E+004, -1.08967245528E-001, +0.00000000000E+000
+8.12599187500E+004, -1.12562868366E-001, +0.00000000000E+000
+8.75099125000E+004, -1.13961031289E-001, +0.00000000000E+000
+9.37599062500E+004, -1.11145505543E-001, +0.00000000000E+000
+1.00009900000E+005, -1.10842901054E-001, +0.00000000000E+000
+1.06259893750E+005, -1.09386298909E-001, +0.00000000000E+000
+1.12509887500E+005, -1.08067889821E-001, +0.00000000000E+000
+1.18759881250E+005, -1.05987704792E-001, +0.00000000000E+000
+1.25009875000E+005, -1.03576644956E-001, +0.00000000000E+000
+1.31259868750E+005, -1.00945413404E-001, +0.00000000000E+000
+1.37509862500E+005, -9.78882043896E-002, +0.00000000000E+000
+1.43759856250E+005, -9.53613762647E-002, +0.00000000000E+000
+1.50009850000E+005, -9.24147979075E-002, +0.00000000000E+000
+1.56259843750E+005, -8.96778907595E-002, +0.00000000000E+000
+1.62509837500E+005, -8.69739296448E-002, +0.00000000000E+000
+1.68759831250E+005, -8.38273510952E-002, +0.00000000000E+000
+1.75009825000E+005, -8.12610233214E-002, +0.00000000000E+000
+1.81259818750E+005, -7.83336064775E-002, +0.00000000000E+000
+1.87509812500E+005, -7.61086698550E-002, +0.00000000000E+000
+1.93759806250E+005, -7.36629568557E-002, +0.00000000000E+000
+2.00009800000E+005, -7.11233299639E-002, +0.00000000000E+000
+2.06259793750E+005, -6.87906791426E-002, +0.00000000000E+000
+2.12509787500E+005, -6.63055874948E-002, +0.00000000000E+000
+2.18759781250E+005, -6.41301124397E-002, +0.00000000000E+000
+2.25009775000E+005, -6.17701722557E-002, +0.00000000000E+000
+2.31259768750E+005, -5.97908403834E-002, +0.00000000000E+000
+2.37509762500E+005, -5.73788733179E-002, +0.00000000000E+000
+2.43759756250E+005, -5.56145161298E-002, +0.00000000000E+000
+2.50009750000E+005, -5.36786507891E-002, +0.00000000000E+000
+2.56259743750E+005, -5.19010244356E-002, +0.00000000000E+000
+2.62509737500E+005, -5.00050325621E-002, +0.00000000000E+000
+2.68759731250E+005, -4.78474859863E-002, +0.00000000000E+000
+2.75009725000E+005, -4.64631668367E-002, +0.00000000000E+000
+2.81259718750E+005, -4.50643323607E-002, +0.00000000000E+000
+2.87509712500E+005, -4.35764208620E-002, +0.00000000000E+000
+2.93759706250E+005, -4.25598290375E-002, +0.00000000000E+000
+3.00009700000E+005, -4.16788784554E-002, +0.00000000000E+000
+3.06259693750E+005, -4.02709401335E-002, +0.00000000000E+000
+3.12509687500E+005, -3.86282725348E-002, +0.00000000000E+000
+3.18759681250E+005, -3.80484401847E-002, +0.00000000000E+000
+3.25009675000E+005, -3.68071305500E-002, +0.00000000000E+000
+3.31259668750E+005, -3.53874160292E-002, +0.00000000000E+000
+3.37509662500E+005, -3.40799532103E-002, +0.00000000000E+000
+3.43759656250E+005, -3.33691656866E-002, +0.00000000000E+000
+3.50009650000E+005, -3.24212558554E-002, +0.00000000000E+000
+3.56259643750E+005, -3.11465460535E-002, +0.00000000000E+000
+3.62509637500E+005, -2.99991438329E-002, +0.00000000000E+000
+3.68759631250E+005, -2.97927394312E-002, +0.00000000000E+000
+3.75009625000E+005, -2.85960490468E-002, +0.00000000000E+000
+3.81259618750E+005, -2.71861985233E-002, +0.00000000000E+000
+3.87509612500E+005, -2.60120124506E-002, +0.00000000000E+000
+3.93759606250E+005, -2.57186003365E-002, +0.00000000000E+000
+4.00009600000E+005, -2.45969186598E-002, +0.00000000000E+000
+4.06259593750E+005, -2.35252436238E-002, +0.00000000000E+000
+4.12509587500E+005, -2.33918217170E-002, +0.00000000000E+000
+4.18759581250E+005, -2.25182209414E-002, +0.00000000000E+000
+4.25009575000E+005, -2.12810424045E-002, +0.00000000000E+000
+4.31259568750E+005, -2.11816455306E-002, +0.00000000000E+000
+4.37509562500E+005, -2.02914903397E-002, +0.00000000000E+000
+4.43759556250E+005, -1.91151853122E-002, +0.00000000000E+000
+4.50009550000E+005, -1.94251348391E-002, +0.00000000000E+000
+4.56259543750E+005, -1.82229595672E-002, +0.00000000000E+000
+4.62509537500E+005, -1.73837247443E-002, +0.00000000000E+000
+4.68759531250E+005, -1.64972320006E-002, +0.00000000000E+000
+4.75009525000E+005, -1.65653738442E-002, +0.00000000000E+000
+4.81259518750E+005, -1.55573008549E-002, +0.00000000000E+000
+4.87509512500E+005, -1.50233918186E-002, +0.00000000000E+000
+4.93759506250E+005, -1.39549273243E-002, +0.00000000000E+000
+5.00009500000E+005, -1.40718579370E-002, +0.00000000000E+000
+5.06259493750E+005, -1.32181328066E-002, +0.00000000000E+000
+5.12509487500E+005, -1.34747507574E-002, +0.00000000000E+000
+5.18759481250E+005, -1.26033196129E-002, +0.00000000000E+000
+5.25009475000E+005, -1.19726180227E-002, +0.00000000000E+000
+5.31259468750E+005, -1.21341315262E-002, +0.00000000000E+000
+5.37509462500E+005, -1.13400331541E-002, +0.00000000000E+000
+5.43759456250E+005, -1.03119027171E-002, +0.00000000000E+000
