"# Channel 1"
"# Trace 4"
Frequency, Formatted Data, Formatted Data
+1.00000000000E+001, -3.76722403004E+003, -1.39246206339E+004
+6.25999375000E+003, -7.38217082708E+000, -2.50818453527E+002
+1.25099875000E+004, -1.42205447933E+000, -1.24574566451E+002
+1.87599812500E+004, -4.47423039767E-001, -8.18182787967E+001
+2.50099750000E+004, -1.03649101843E-001, -6.00486986433E+001
+3.12599687500E+004, +5.89439227317E-002, -4.66816586161E+001
+3.75099625000E+004, +1.52346317982E-001, -3.75230092664E+001
+4.37599562500E+004, +2.11738872844E-001, -3.07695989606E+001
+5.00099500000E+004, +2.51544167801E-001, -2.55292473953E+001
+5.62599437500E+004, +2.80028862596E-001, -2.12847869093E+001
+6.25099375000E+004, +3.01579484211E-001, -1.77440876370E+001
+6.87599312500E+004, +3.17833138170E-001, -1.47120105666E+001
+7.50099250000E+004, +3.27345844470E-001, -1.20658639131E+001
+8.12599187500E+004, +3.36812750536E-001, -9.71030413536E+000
+8.75099125000E+004, +3.41733545364E-001, -7.58666496662E+000
+9.37599062500E+004, +3.35631985623E-001, -5.64133502862E+000
+1.00009900000E+005, +3.38657550499E-001, -3.84922952392E+000
+1.06259893750E+005, +3.39430338316E-001, -2.18039685838E+000
+1.12509887500E+005, +3.42597222457E-001, -6.13330384463E-001
+1.18759881250E+005, +3.42648872316E-001, +8.67453482925E-001
+1.25009875000E+005, +3.43384770714E-001, +2.27466230782E+000
+1.31259868750E+005, +3.44292593013E-001, +3.61915685639E+000
+1.37509862500E+005, +3.42696350378E-001, +4.91123260160E+000
+1.43759856250E+005, +3.44316516110E-001, +6.15538668563E+000
+1.50009850000E+005, +3.43931665879E-001, +7.35800431384E+000
+1.56259843750E+005, +3.44841498213E-001, +8.52565590688E+000
+1.62509837500E+005, +3.44998912951E-001, +9.66007379471E+000
+1.68759831250E+005, +3.44129106809E-001, +1.07690654083E+001
+1.75009825000E+005, +3.45483610003E-001, +1.18486506595E+001
+1.81259818750E+005, +3.45972540382E-001, +1.29078322939E+001
+1.87509812500E+005, +3.48597603403E-001, +1.39449283373E+001
+1.93759806250E+005, +3.49708244065E-001, +1.49648014624E+001
+2.00009800000E+005, +3.50780501706E-001, +1.59679747323E+001
+2.06259793750E+005, +3.53292178633E-001, +1.69546854178E+001
+2.12509787500E+005, +3.54594158825E-001, +1.79287576479E+001
+2.18759781250E+005, +3.54946287602E-001, +1.88924012729E+001
+2.25009775000E+005, +3.57418157159E-001, +1.98403061918E+001
+2.31259768750E+005, +3.58684673987E-001, +2.07809833058E+001
+2.37509762500E+005, +3.60912048729E-001, +2.17083389462E+001
+2.43759756250E+005, +3.62706349914E-001, +2.26307839224E+001
+2.50009750000E+005, +3.64267290535E-001, +2.35446311630E+001
+2.56259743750E+005, +3.67177932339E-001, +2.44498165755E+001
+2.62509737500E+005, +3.69888221155E-001, +2.53438418434E+001
+2.68759731250E+005, +3.72038553980E-001, +2.62350309067E+001
+2.75009725000E+005, +3.74612408335E-001, +2.71197281882E+001
+2.81259718750E+005, +3.75952499759E-001, +2.80044363555E+001
+2.87509712500E+005, +3.79280530853E-001, +2.88786565637E+001
+2.93759706250E+005, +3.82114440057E-001, +2.97527084269E+001
+3.00009700000E+005, +3.84770149965E-001, +3.06223997656E+001
+3.06259693750E+005, +3.87833921912E-001, +3.14819523628E+001
+3.12509687500E+005, +3.90606610962E-001, +3.23373173128E+001
+3.18759681250E+005, +3.94141351836E-001, +3.31947854157E+001
+3.25009675000E+005, +3.97711535398E-001, +3.40427739790E+001
+3.31259668750E+005, +4.01251536768E-001, +3.48868451202E+001
+3.37509662500E+005, +4.05318304534E-001, +3.57283069865E+001
