"# Channel 1"
"# Trace 3"
Frequency, Formatted Data, Formatted Data
+1.00000000000E+001, +1.44252222406E+004, +0.00000000000E+000
+6.25999375000E+003, +2.50927067244E+002, +0.00000000000E+000
+1.25099875000E+004, +1.24582682767E+002, +0.00000000000E+000
+1.87599812500E+004, +8.18195021534E+001, +0.00000000000E+000
+2.50099750000E+004, +6.00487880968E+001, +0.00000000000E+000
+3.12599687500E+004, +4.66816958297E+001, +0.00000000000E+000
+3.75099625000E+004, +3.75233185340E+001, +0.00000000000E+000
+4.37599562500E+004, +3.07703274852E+001, +0.00000000000E+000
+5.00099500000E+004, +2.55304866197E+001, +0.00000000000E+000
+5.62599437500E+004, +2.12866289003E+001, +0.00000000000E+000
+6.25099375000E+004, +1.77466502826E+001, +0.00000000000E+000
+6.87599312500E+004, +1.47154433442E+001, +0.00000000000E+000
+7.50099250000E+004, +1.20703035286E+001, +0.00000000000E+000
+8.12599187500E+004, +9.71614374277E+000, +0.00000000000E+000
+8.75099125000E+004, +7.59435758519E+000, +0.00000000000E+000
+9.37599062500E+004, +5.65131044403E+000, +0.00000000000E+000
+1.00009900000E+005, +3.86409845428E+000, +0.00000000000E+000
+1.06259893750E+005, +2.20665888043E+000, +0.00000000000E+000
+1.12509887500E+005, +7.02529015302E-001, +0.00000000000E+000
+1.18759881250E+005, +9.32675610670E-001, +0.00000000000E+000
+1.25009875000E+005, +2.30043511436E+000, +0.00000000000E+000
+1.31259868750E+005, +3.63549635411E+000, +0.00000000000E+000
+1.37509862500E+005, +4.92317442871E+000, +0.00000000000E+000
+1.43759856250E+005, +6.16500925489E+000, +0.00000000000E+000
+1.50009850000E+005, +7.36603804452E+000, +0.00000000000E+000
+1.56259843750E+005, +8.53262704572E+000, +0.00000000000E+000
+1.62509837500E+005, +9.66623245991E+000, +0.00000000000E+000
+1.68759831250E+005, +1.07745623860E+001, +0.00000000000E+000
+1.75009825000E+005, +1.18536864045E+001, +0.00000000000E+000
+1.81259818750E+005, +1.29124680649E+001, +0.00000000000E+000
+1.87509812500E+005, +1.39492848068E+001, +0.00000000000E+000
+1.93759806250E+005, +1.49688870216E+001, +0.00000000000E+000
+2.00009800000E+005, +1.59718271970E+001, +0.00000000000E+000
+2.06259793750E+005, +1.69583658700E+001, +0.00000000000E+000
+2.12509787500E+005, +1.79322638787E+001, +0.00000000000E+000
+2.18759781250E+005, +1.88957353052E+001, +0.00000000000E+000
+2.25009775000E+005, +1.98435253300E+001, +0.00000000000E+000
+2.31259768750E+005, +2.07840785663E+001, +0.00000000000E+000
+2.37509762500E+005, +2.17113389110E+001, +0.00000000000E+000
+2.43759756250E+005, +2.26336903053E+001, +0.00000000000E+000
+2.50009750000E+005, +2.35474488483E+001, +0.00000000000E+000
+2.56259743750E+005, +2.44525734885E+001, +0.00000000000E+000
+2.62509737500E+005, +2.53465409213E+001, +0.00000000000E+000
+2.68759731250E+005, +2.62376687105E+001, +0.00000000000E+000
+2.75009725000E+005, +2.71223153779E+001, +0.00000000000E+000
+2.81259718750E+005, +2.80069597756E+001, +0.00000000000E+000
+2.87509712500E+005, +2.88811471144E+001, +0.00000000000E+000
+2.93759706250E+005, +2.97551620762E+001, +0.00000000000E+000
+3.00009700000E+005, +3.06248169868E+001, +0.00000000000E+000
+3.06259693750E+005, +3.14843411829E+001, +0.00000000000E+000
+3.12509687500E+005, +3.23396763205E+001, +0.00000000000E+000
+3.18759681250E+005, +3.31971252701E+001, +0.00000000000E+000
+3.25009675000E+005, +3.40450970722E+001, +0.00000000000E+000
+3.31259668750E+005, +3.48891525440E+001, +0.00000000000E+000
+3.37509662500E+005, +3.57306059709E+001, +0.00000000000E+000
+3.43759656250E+005, +3.65745925293E+001, +0.00000000000E+000
+3.50009650000E+005, +3.74102278683E+001, +0.00000000000E+000
+3.56259643750E+005, +3.82425729137E+001, +0.00000000000E+000
+3.62509637500E+005, +3.90736650997E+001, +0.00000000000E+000
+3.68759631250E+005, +3.99090040118E+001, +0.00000000000E+000
+3.75009625000E+005, +4.07345888359E+001, +0.00000000000E+000
+3.81259618750E+005, +4.15577938809E+001, +0.00000000000E+000
+3.87509612500E+005, +4.23798790665E+001, +0.00000000000E+000
+3.93759606250E+005, +4.32052266626E+001, +0.00000000000E+000
+4.00009600000E+005, +4.40237043756E+001, +0.00000000000E+000
+4.06259593750E+005, +4.48394455636E+001, +0.00000000000E+000
+4.12509587500E+005, +4.56614943289E+001, +0.00000000000E+000
