"# Channel 1"
"# Trace 4"
Frequency, Formatted Data, Formatted Data
+1.00000000000E+001, +1.00178959784E+000, -6.70378507060E-003
+6.25999375000E+003, +9.34156732544E-001, -3.87506985665E-001
+1.25099875000E+004, +7.28290590573E-001, -6.96778785461E-001
+1.87599812500E+004, +4.58423352189E-001, -8.94219269282E-001
+2.50099750000E+004, +1.81422097565E-001, -9.85132918433E-001
+3.12599687500E+004, -6.84768688655E-002, -9.96390824955E-001
+3.75099625000E+004, -2.78341936254E-001, -9.56430552930E-001
+4.37599562500E+004, -4.47864127792E-001, -8.87246678998E-001
+5.00099500000E+004, -5.81749269005E-001, -8.03574677645E-001
+5.62599437500E+004, -6.86613439576E-001, -7.13985422679E-001
+6.25099375000E+004, -7.68006473384E-001, -6.23671505511E-001
+6.87599312500E+004, -8.30852820562E-001, -5.35307750000E-001
+7.50099250000E+004, -8.78989025359E-001, -4.50483241144E-001
+8.12599187500E+004, -9.15342084881E-001, -3.69482157316E-001
+8.75099125000E+004, -9.42310694676E-001, -2.92712615634E-001
+9.37599062500E+004, -9.62019957620E-001, -2.19892181287E-001
+1.00009900000E+005, -9.74996726502E-001, -1.51021423280E-001
+1.06259893750E+005, -9.82794427405E-001, -8.58825519333E-002
+1.12509887500E+005, -9.86094577051E-001, -2.41968475552E-002
+1.18759881250E+005, -9.85797735398E-001, +3.42172531748E-002
+1.25009875000E+005, -9.82311410704E-001, +8.95666643954E-002
+1.31259868750E+005, -9.76110132821E-001, +1.42058854496E-001
+1.37509862500E+005, -9.67658904648E-001, +1.91956952287E-001
+1.43759856250E+005, -9.57065520218E-001, +2.39282125167E-001
+1.50009850000E+005, -9.44793577108E-001, +2.84240802345E-001
+1.56259843750E+005, -9.30926131302E-001, +3.26993020281E-001
+1.62509837500E+005, -9.15762029143E-001, +3.67591676913E-001
+1.68759831250E+005, -8.99417133756E-001, +4.06302536442E-001
+1.75009825000E+005, -8.82033176417E-001, +4.42930567710E-001
+1.81259818750E+005, -8.63748212294E-001, +4.77832647746E-001
+1.87509812500E+005, -8.44647804973E-001, +5.10907605622E-001
+1.93759806250E+005, -8.24900595367E-001, +5.42391923424E-001
+2.00009800000E+005, -8.04572786317E-001, +5.72292472278E-001
+2.06259793750E+005, -7.83733665627E-001, +6.00609053775E-001
+2.12509787500E+005, -7.62483187275E-001, +6.27532292753E-001
+2.18759781250E+005, -7.40853588072E-001, +6.53141487936E-001
+2.25009775000E+005, -7.18972263002E-001, +6.77257438550E-001
+2.31259768750E+005, -6.96809001179E-001, +7.00204140655E-001
+2.37509762500E+005, -6.74525578261E-001, +7.21813155245E-001
+2.43759756250E+005, -6.52019183626E-001, +7.42344720724E-001
+2.50009750000E+005, -6.29432184740E-001, +7.61738070635E-001
+2.56259743750E+005, -6.06789909530E-001, +7.79986494701E-001
+2.62509737500E+005, -5.84239747992E-001, +7.97117544490E-001
+2.68759731250E+005, -5.61623885581E-001, +8.13333191965E-001
+2.75009725000E+005, -5.39057812294E-001, +8.28568748024E-001
+2.81259718750E+005, -5.16441278469E-001, +8.43003083066E-001
+2.87509712500E+005, -4.94025882711E-001, +8.56412793304E-001
+2.93759706250E+005, -4.71620293478E-001, +8.69052241923E-001
+3.00009700000E+005, -4.49355702089E-001, +8.80876296148E-001
+3.06259693750E+005, -4.27398333195E-001, +8.91828102751E-001
+3.12509687500E+005, -4.05628921023E-001, +9.02038524642E-001
+3.18759681250E+005, -3.83898112779E-001, +9.11578204502E-001
+3.25009675000E+005, -3.62527560568E-001, +9.20363571510E-001
+3.31259668750E+005, -3.41394183434E-001, +9.28489069136E-001
+3.37509662500E+005, -3.20476061618E-001, +9.35980084735E-001
+3.43759656250E+005, -2.99676108612E-001, +9.42945601045E-001
+3.50009650000E+005, -2.79250303185E-001, +9.49243050136E-001
+3.56259643750E+005, -2.59108652019E-001, +9.55020770527E-001
+3.62509637500E+005, -2.39198301592E-001, +9.60269796544E-001
+3.68759631250E+005, -2.19399104065E-001, +9.65036768129E-001
+3.75009625000E+005, -2.00059989184E-001, +9.69308276081E-001
+3.81259618750E+005, -1.81010334820E-001, +9.73153115297E-001
+3.87509612500E+005, -1.62216389260E-001, +9.76545127593E-001
+3.93759606250E+005, -1.43583503076E-001, +9.79496814718E-001
+4.00009600000E+005, -1.25356391586E-001, +9.82067879268E-001
+4.06259593750E+005, -1.07439169086E-001, +9.84273612820E-001
+4.12509587500E+005, -8.96328823869E-002, +9.86094972198E-001
+4.18759581250E+005, -7.22781185498E-002, +9.87565249794E-001
+4.25009575000E+005, -5.52098915017E-002, +9.88753395273E-001
+4.31259568750E+005, -3.82574219186E-002, +9.89579550832E-001
+4.37509562500E+005, -2.17574382915E-002, +9.90145236123E-001
+4.43759556250E+005, -5.55434703711E-003, +9.90461486204E-001
+4.50009550000E+005, +1.06153381854E-002, +9.90426066126E-001
+4.56259543750E+005, +2.62422106875E-002, +9.90230648439E-001
+4.62509537500E+005, +4.16361520430E-002, +9.89778414887E-001
+4.68759531250E+005, +5.67547812216E-002, +9.89071896195E-001
+4.75009525000E+005, +7.17547014295E-002, +9.88110774090E-001
+4.81259518750E+005, +8.63356582986E-002, +9.87027228618E-001
+4.87509512500E+005, +1.00677485227E-001, +9.85708952913E-001
+4.93759506250E+005, +1.14727468079E-001, +9.84263392478E-001
+5.00009500000E+005, +1.28683524476E-001, +9.82549862305E-001
+5.06259493750E+005, +1.42225571596E-001, +9.80762522907E-001
+5.12509487500E+005, +1.55694795728E-001, +9.78728202272E-001
+5.18759481250E+005, +1.68737340288E-001, +9.76637120673E-001
+5.25009475000E+005, +1.81622351555E-001, +9.74389247128E-001
+5.31259468750E+005, +1.94325796546E-001, +9.71941915212E-001
+5.37509462500E+005, +2.06702714921E-001, +9.69455487747E-001
+5.43759456250E+005, +2.18801975441E-001, +9.66881754486E-001
+5.50009450000E+005, +2.30721932053E-001, +9.64181634030E-001
+5.56259443750E+005, +2.42376877033E-001, +9.61384537527E-001
+5.62509437500E+005, +2.53882470487E-001, +9.58504322988E-001
+5.68759431250E+005, +2.65115405959E-001, +9.55496639263E-001
+5.75009425000E+005, +2.76318530904E-001, +9.52293613649E-001
+5.81259418750E+005, +2.87279770358E-001, +9.49049022192E-001
+5.87509412500E+005, +2.97912335351E-001, +9.45826458121E-001
+5.93759406250E+005, +3.08337425295E-001, +9.42568840157E-001
+6.00009400000E+005, +3.18575157890E-001, +9.39214994426E-001
+6.06259393750E+005, +3.28627806973E-001, +9.35826273290E-001
+6.12509387500E+005, +3.38599787800E-001, +9.32240711247E-001
+6.18759381250E+005, +3.48298256302E-001, +9.28719554239E-001
+6.25009375000E+005, +3.57848735738E-001, +9.25155920122E-001
+6.31259368750E+005, +3.67168110379E-001, +9.21579060081E-001
+6.37509362500E+005, +3.76330566637E-001, +9.17950936712E-001
+6.43759356250E+005, +3.85418963276E-001, +9.14125073594E-001
+6.50009350000E+005, +3.94248065551E-001, +9.10404180641E-001
+6.56259343750E+005, +4.02893366744E-001, +9.06700523840E-001
+6.62509337500E+005, +4.11414050340E-001, +9.02942242314E-001
+6.68759331250E+005, +4.19756739698E-001, +8.99165491066E-001
