"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+1.00000000000E+002, +7.93945505140E+003, +0.00000000000E+000
+6.34993750000E+003, +2.47098713361E+002, +0.00000000000E+000
+1.25998750000E+004, +1.23185144977E+002, +0.00000000000E+000
+1.88498125000E+004, +8.06871146865E+001, +0.00000000000E+000
+2.50997500000E+004, +5.88511162283E+001, +0.00000000000E+000
+3.13496875000E+004, +4.53274735550E+001, +0.00000000000E+000
+3.75996250000E+004, +3.59747293439E+001, +0.00000000000E+000
+4.38495625000E+004, +2.90103450390E+001, +0.00000000000E+000
+5.00995000000E+004, +2.35497043990E+001, +0.00000000000E+000
+5.63494375000E+004, +1.90802494183E+001, +0.00000000000E+000
+6.25993750000E+004, +1.53102285848E+001, +0.00000000000E+000
+6.88493125000E+004, +1.20491039574E+001, +0.00000000000E+000
+7.50992500000E+004, +9.16914470195E+000, +0.00000000000E+000
+8.13491875000E+004, +6.58161954442E+000, +0.00000000000E+000
+8.75991250000E+004, +4.22651060849E+000, +0.00000000000E+000
+9.38490625000E+004, +2.05570632452E+000, +0.00000000000E+000
+1.00099000000E+005, +3.26464878149E-001, +0.00000000000E+000
+1.06348937500E+005, +1.93443060125E+000, +0.00000000000E+000
+1.12598875000E+005, +3.72615277249E+000, +0.00000000000E+000
+1.18848812500E+005, +5.44070435083E+000, +0.00000000000E+000
+1.25098750000E+005, +7.08501742070E+000, +0.00000000000E+000
+1.31348687500E+005, +8.66767415686E+000, +0.00000000000E+000
+1.37598625000E+005, +1.01983079579E+001, +0.00000000000E+000
+1.43848562500E+005, +1.16809407401E+001, +0.00000000000E+000
+1.50098500000E+005, +1.31234696396E+001, +0.00000000000E+000
+1.56348437500E+005, +1.45301036408E+001, +0.00000000000E+000
+1.62598375000E+005, +1.59046660462E+001, +0.00000000000E+000
+1.68848312500E+005, +1.72548833557E+001, +0.00000000000E+000
+1.75098250000E+005, +1.85741169858E+001, +0.00000000000E+000
+1.81348187500E+005, +1.98741824213E+001, +0.00000000000E+000
+1.87598125000E+005, +2.11516798970E+001, +0.00000000000E+000
+1.93848062500E+005, +2.24123161581E+001, +0.00000000000E+000
+2.00098000000E+005, +2.36565058769E+001, +0.00000000000E+000
+2.06347937500E+005, +2.48839680393E+001, +0.00000000000E+000
+2.12597875000E+005, +2.60983811679E+001, +0.00000000000E+000
+2.18847812500E+005, +2.73050386899E+001, +0.00000000000E+000
+2.25097750000E+005, +2.84940731081E+001, +0.00000000000E+000
+2.31347687500E+005, +2.96775833407E+001, +0.00000000000E+000
+2.37597625000E+005, +3.08454959912E+001, +0.00000000000E+000
+2.43847562500E+005, +3.20107939749E+001, +0.00000000000E+000
