Created: 11-01-2025  01:00:11
VNA version 546B
"transformer open"
Z0, 50
Freq(MHz),SWR,Rs,Xs,Zmag,Phase(deg),Rho,ReturnLoss,%ReflectedPower
 0.005000,  999,  0.023526,  1.124777,  1.125023,  88.801931,  0.998000,  0.017389,  99.600400
 0.005333,  143.287276,  0.349059,  0.887807,  0.953962,  68.536844,  0.986139,  0.121239,  97.246966
 0.005666,  159.701027,  0.313244,  1.126594,  1.169331,  74.461795,  0.987555,  0.108778,  97.526395
 0.006000,  207.798080,  0.240645,  0.526969,  0.579316,  65.455903,  0.990421,  0.083600,  98.093449
 0.006333,  268.079727,  0.186530,  0.493928,  0.527975,  69.311265,  0.992567,  0.064801,  98.518976
 0.006666,  499.073635,  0.100224,  0.984581,  0.989669,  84.187800,  0.996001,  0.034808,  99.201717
 0.006999,  654.395010,  0.076440,  1.047126,  1.049913,  85.824979,  0.996948,  0.026546,  99.390612
 0.007332,  307.577769,  0.162644,  1.130386,  1.142027,  81.812435,  0.993519,  0.056480,  98.707931
 0.007665,  341.943079,  0.146304,  1.177492,  1.186546,  82.917401,  0.994168,  0.050803,  98.837027
 0.007999,  429.383026,  0.116499,  1.060357,  1.066738,  83.730364,  0.995353,  0.040458,  99.072755
 0.008332,  507.077456,  0.098649,  1.059849,  1.064430,  84.682495,  0.996064,  0.034259,  99.214268
 0.008665,  596.419177,  0.083879,  1.160710,  1.163737,  85.866850,  0.996652,  0.029127,  99.331574
 0.008998,  999,  0.033812,  1.334630,  1.335058,  88.548924,  0.998000,  0.017389,  99.600400
 0.009331,  999,  0.045592,  1.472016,  1.472721,  88.226143,  0.998000,  0.017389,  99.600400
 0.009664,  786.556019,  0.063624,  1.483984,  1.485347,  87.545160,  0.997460,  0.022086,  99.492745
 0.009998,  999,  0.032997,  1.516742,  1.517101,  88.753859,  0.998000,  0.017389,  99.600400
 0.010331,  999,  0.041607,  1.534439,  1.535003,  88.446945,  0.998000,  0.017389,  99.600400
 0.010664,  999,  0.047246,  1.567686,  1.568397,  88.273943,  0.998000,  0.017389,  99.600400
 0.010997,  999,  0.004997,  1.765285,  1.765292,  89.837961,  0.998000,  0.017389,  99.600400
 0.011330,  999,  0.014182,  1.812043,  1.812099,  89.551733,  0.998000,  0.017389,  99.600400
 0.011664,  999,  0.049129,  1.820953,  1.821615,  88.454714,  0.998000,  0.017389,  99.600400
 0.011997,  999,  0.004992,  1.970996,  1.971002,  89.855057,  0.998000,  0.017389,  99.600400
 0.012330,  999,  0.010622,  1.951952,  1.951981,  89.688384,  0.998000,  0.017389,  99.600400
 0.012663,  389.271066,  0.128754,  2.449646,  2.453027,  86.991452,  0.994875,  0.044627,  98.977698
 0.012996,  999,  0.004996,  2.258679,  2.258685,  89.873412,  0.998000,  0.017389,  99.600400
 0.013329,  999,  0.004986,  2.203319,  2.203325,  89.870504,  0.998000,  0.017389,  99.600400
 0.013663,  697.173110,  0.071843,  2.083341,  2.084579,  88.025128,  0.997135,  0.024917,  99.427897
 0.013996,  999,  0.027231,  2.606411,  2.606553,  89.401573,  0.998000,  0.017389,  99.600400
 0.014329,  999,  0.004999,  2.298183,  2.298188,  89.875532,  0.998000,  0.017389,  99.600400
 0.014662,  999,  0.004958,  2.652726,  2.652731,  89.893066,  0.998000,  0.017389,  99.600400
 0.014995,  999,  0.004956,  2.389990,  2.389996,  89.881341,  0.998000,  0.017389,  99.600400
 0.015329,  999,  0.004995,  2.588427,  2.588432,  89.889601,  0.998000,  0.017389,  99.600400
 0.015662,  999,  0.004989,  2.615478,  2.615483,  89.890865,  0.998000,  0.017389,  99.600400
 0.015995,  999,  0.004932,  2.797121,  2.797125,  89.899139,  0.998000,  0.017389,  99.600400
 0.016328,  999,  0.038152,  2.733312,  2.733578,  89.200463,  0.998000,  0.017389,  99.600400
 0.016661,  999,  0.004959,  3.014267,  3.014271,  89.905900,  0.998000,  0.017389,  99.600400
 0.016994,  853.868731,  0.058740,  2.796408,  2.797024,  88.796801,  0.997660,  0.020345,  99.532639
 0.017328,  999,  0.004984,  2.962358,  2.962362,  89.903766,  0.998000,  0.017389,  99.600400
 0.017661,  999,  0.004977,  3.094719,  3.094723,  89.908005,  0.998000,  0.017389,  99.600400
 0.017994,  999,  0.004993,  3.073063,  3.073067,  89.907073,  0.998000,  0.017389,  99.600400
 0.018327,  999,  0.004984,  3.147134,  3.147138,  89.909426,  0.998000,  0.017389,  99.600400
 0.018660,  999,  0.004984,  3.229487,  3.229491,  89.911736,  0.998000,  0.017389,  99.600400
 0.018993,  999,  0.004983,  3.286408,  3.286411,  89.913283,  0.998000,  0.017389,  99.600400
 0.019327,  999,  0.004980,  3.360498,  3.360502,  89.915252,  0.998000,  0.017389,  99.600400
 0.019660,  999,  0.004984,  3.439576,  3.439580,  89.917128,  0.998000,  0.017389,  99.600400
 0.019993,  999,  0.004975,  3.501538,  3.501542,  89.918759,  0.998000,  0.017389,  99.600400
 0.020326,  999,  0.004979,  3.530544,  3.530548,  89.919357,  0.998000,  0.017389,  99.600400
 0.020659,  999,  0.004982,  3.603439,  3.603442,  89.920949,  0.998000,  0.017389,  99.600400
 0.020993,  999,  0.004973,  3.683428,  3.683431,  89.922802,  0.998000,  0.017389,  99.600400
 0.021326,  999,  0.004975,  3.733878,  3.733882,  89.923815,  0.998000,  0.017389,  99.600400
 0.021659,  999,  0.004971,  3.807355,  3.807358,  89.925353,  0.998000,  0.017389,  99.600400
 0.021992,  999,  0.004978,  3.869663,  3.869666,  89.926445,  0.998000,  0.017389,  99.600400
 0.022325,  999,  0.004973,  3.934749,  3.934752,  89.927743,  0.998000,  0.017389,  99.600400
 0.022658,  999,  0.004980,  3.991672,  3.991675,  89.928673,  0.998000,  0.017389,  99.600400
 0.022992,  999,  0.004982,  4.063172,  4.063175,  89.929902,  0.998000,  0.017389,  99.600400
 0.023325,  999,  0.004972,  4.119258,  4.119261,  89.931007,  0.998000,  0.017389,  99.600400
 0.023658,  999,  0.004980,  4.180700,  4.180703,  89.931911,  0.998000,  0.017389,  99.600400
 0.023991,  999,  0.004976,  4.244613,  4.244616,  89.932983,  0.998000,  0.017389,  99.600400
 0.024324,  999,  0.004976,  4.308638,  4.308641,  89.933984,  0.998000,  0.017389,  99.600400
 0.024657,  999,  0.004975,  4.386802,  4.386805,  89.935182,  0.998000,  0.017389,  99.600400
 0.024991,  999,  0.004978,  4.454710,  4.454712,  89.936130,  0.998000,  0.017389,  99.600400
 0.025324,  999,  0.004978,  4.411239,  4.411242,  89.935495,  0.998000,  0.017389,  99.600400
 0.025657,  999,  0.004977,  4.568604,  4.568607,  89.937742,  0.998000,  0.017389,  99.600400
 0.025990,  999,  0.004977,  4.646270,  4.646272,  89.938783,  0.998000,  0.017389,  99.600400
 0.026323,  999,  0.004976,  4.679358,  4.679361,  89.939236,  0.998000,  0.017389,  99.600400
 0.026657,  999,  0.004977,  4.760410,  4.760413,  89.940255,  0.998000,  0.017389,  99.600400
 0.026990,  999,  0.004978,  4.822631,  4.822633,  89.941020,  0.998000,  0.017389,  99.600400
 0.027323,  999,  0.004971,  4.867298,  4.867301,  89.941638,  0.998000,  0.017389,  99.600400
 0.027656,  999,  0.004979,  4.946697,  4.946700,  89.942488,  0.998000,  0.017389,  99.600400
 0.027989,  999,  0.004977,  5.016416,  5.016418,  89.943315,  0.998000,  0.017389,  99.600400
 0.028322,  999,  0.004971,  5.084601,  5.084604,  89.944146,  0.998000,  0.017389,  99.600400
 0.028656,  999,  0.004975,  5.136492,  5.136495,  89.944665,  0.998000,  0.017389,  99.600400
 0.028989,  999,  0.004973,  5.194505,  5.194507,  89.945309,  0.998000,  0.017389,  99.600400
 0.029322,  999,  0.004970,  5.243034,  5.243036,  89.945843,  0.998000,  0.017389,  99.600400
 0.029655,  999,  0.004976,  5.326639,  5.326642,  89.946632,  0.998000,  0.017389,  99.600400
 0.029988,  999,  0.004978,  5.401526,  5.401529,  89.947351,  0.998000,  0.017389,  99.600400
 0.030322,  999,  0.004965,  5.482472,  5.482475,  89.948269,  0.998000,  0.017389,  99.600400
 0.030655,  999,  0.004978,  5.497605,  5.497607,  89.948277,  0.998000,  0.017389,  99.600400
 0.030988,  999,  0.004970,  5.607070,  5.607072,  89.949376,  0.998000,  0.017389,  99.600400
 0.031321,  999,  0.004980,  5.652340,  5.652343,  89.949674,  0.998000,  0.017389,  99.600400
 0.031654,  999,  0.004962,  5.709039,  5.709041,  89.950361,  0.998000,  0.017389,  99.600400
 0.031987,  999,  0.004973,  5.760138,  5.760140,  89.950688,  0.998000,  0.017389,  99.600400
 0.032321,  999,  0.004977,  5.844358,  5.844360,  89.951366,  0.998000,  0.017389,  99.600400
